signal_time,entry_time,exit_time,calendar_year,trend_regime,volatility_regime,regime,trend_90d,volatility_30d,trend_threshold_past_median,volatility_threshold_past_median,exit_reason,net_return,initial_risk_return,result_r
2021-01-04T05:00:00+00:00,2021-01-04T06:00:00+00:00,2021-01-04T06:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.06723641484426779,0.05117731113320077,1.3137934243803762
2021-01-04T07:00:00+00:00,2021-01-04T08:00:00+00:00,2021-01-04T09:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.06706227127988215,0.06231227127988213,-1.0762289658591468
2021-01-04T12:00:00+00:00,2021-01-04T13:00:00+00:00,2021-01-05T00:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.11308505403816944,0.08620453052862702,1.3118226309534378
2021-01-05T01:00:00+00:00,2021-01-05T02:00:00+00:00,2021-01-05T03:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.07833267760540097,0.07733267760540084,-1.0129311441290414
2021-01-09T11:00:00+00:00,2021-01-09T12:00:00+00:00,2021-01-09T21:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.05936605218860724,0.04645134914145544,1.2780264359561109
2021-01-09T23:00:00+00:00,2021-01-10T00:00:00+00:00,2021-01-10T01:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.03997572419617289,0.03328570814712958,1.200987643689961
2021-01-10T13:00:00+00:00,2021-01-10T14:00:00+00:00,2021-01-10T17:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.03983689947858632,0.03757640947858631,-1.0601571579447524
2021-01-11T23:00:00+00:00,2021-01-12T00:00:00+00:00,2021-01-13T00:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,time,-0.0890982250796804,0.09217490614993924,-0.9666212725483652
2021-01-13T07:00:00+00:00,2021-01-13T08:00:00+00:00,2021-01-14T07:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.06900062289874735,0.05300029717406043,1.3018912454799942
2021-01-16T08:00:00+00:00,2021-01-16T09:00:00+00:00,2021-01-16T16:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.05293136825740231,0.0415919461930517,1.2726350436144045
2021-01-17T15:00:00+00:00,2021-01-17T16:00:00+00:00,2021-01-18T03:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.042082272131938776,0.039991452131938866,-1.0522816724209445
2021-01-20T00:00:00+00:00,2021-01-20T01:00:00+00:00,2021-01-20T03:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.043597854656531876,0.04259785465653193,-1.0234753606270313
2021-01-20T23:00:00+00:00,2021-01-21T00:00:00+00:00,2021-01-21T02:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.0465806765986093,0.045231306598609335,-1.0298326557747826
2021-01-22T11:00:00+00:00,2021-01-22T12:00:00+00:00,2021-01-23T12:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,time,0.01582680633107735,0.05829279283038076,0.2715053707776514
2021-01-23T19:00:00+00:00,2021-01-23T20:00:00+00:00,2021-01-24T04:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.03945044758978933,0.0303378356923419,1.300371192917618
2021-01-24T05:00:00+00:00,2021-01-24T06:00:00+00:00,2021-01-24T22:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.035425075301204756,0.027318806475903627,1.2967285131014494
2021-01-26T19:00:00+00:00,2021-01-26T20:00:00+00:00,2021-01-27T05:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.04333737166334106,0.04197395166334099,-1.0324825265663717
2021-01-28T03:00:00+00:00,2021-01-28T04:00:00+00:00,2021-01-28T14:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.05452197397260626,0.04171648047945474,1.3069648576767687
2021-01-30T18:00:00+00:00,2021-01-30T19:00:00+00:00,2021-01-31T07:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.02781949639036274,0.026819496390362692,-1.0372863078950054
2021-02-05T06:00:00+00:00,2021-02-05T07:00:00+00:00,2021-02-05T13:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,0.36403981279455405,,0.3778349832684833,take,0.04384556394168093,0.033634172956260804,1.3036016672299158
2021-02-08T09:00:00+00:00,2021-02-08T10:00:00+00:00,2021-02-08T12:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,0.3484547741878163,,0.36824480807374566,take,0.03842118216531343,0.02956588662398507,1.2995105695272664
2021-02-10T04:00:00+00:00,2021-02-10T05:00:00+00:00,2021-02-10T12:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,0.3626123448078005,,0.36592022442111416,stop,-0.029297153432182643,0.028297153432182604,-1.0353392436591424
2021-02-11T09:00:00+00:00,2021-02-11T10:00:00+00:00,2021-02-12T10:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,0.3400403410279838,,0.3652478244815559,time,-0.0029707728139612664,0.027987727650527816,-0.10614555247414811
2021-02-12T19:00:00+00:00,2021-02-12T20:00:00+00:00,2021-02-13T07:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,0.32649973018540895,,0.36397379656872697,stop,-0.0211821576043959,0.020182157604395845,-1.0495487162275579
2021-02-15T11:00:00+00:00,2021-02-15T12:00:00+00:00,2021-02-16T12:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,0.31839174776709506,,0.3607477313231067,time,0.005352638055617703,0.02512455570706845,0.213044087944282
2021-02-18T23:00:00+00:00,2021-02-19T00:00:00+00:00,2021-02-19T02:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,0.31168333098623635,,0.3533988668422031,stop,-0.020427250762446447,0.01942725076244642,-1.051474087210171
2021-02-23T22:00:00+00:00,2021-02-23T23:00:00+00:00,2021-02-24T23:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,0.32225007356859764,,0.33394001619271285,time,0.03358644700545954,0.07636898049933426,0.4397917424830927
2021-02-26T14:00:00+00:00,2021-02-26T15:00:00+00:00,2021-02-26T20:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,0.3261569313347384,,0.3253310100176363,stop,-0.041933779982476604,0.04093377998247662,-1.024429700858999
2021-02-28T20:00:00+00:00,2021-02-28T21:00:00+00:00,2021-03-01T09:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,0.2959448863897253,,0.3240496189783361,take,0.05435757362839087,0.04159318022129326,1.3068866900579772
2021-03-06T19:00:00+00:00,2021-03-06T20:00:00+00:00,2021-03-06T21:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,0.29815330873410567,,0.3228463545236213,take,0.02715056375102487,0.02111292281326863,1.2859689769699638
2021-03-16T07:00:00+00:00,2021-03-16T08:00:00+00:00,2021-03-17T08:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,0.27434476731389545,,0.31466134592300177,time,-0.010899287364900138,0.02418559490604408,-0.45065202684662353
