signal_time,entry_time,exit_time,calendar_year,trend_regime,volatility_regime,regime,trend_90d,volatility_30d,trend_threshold_past_median,volatility_threshold_past_median,exit_reason,net_return,initial_risk_return,result_r
2021-01-03T19:00:00+00:00,2021-01-03T19:30:00+00:00,2021-01-03T20:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.036788371905254746,0.028341278928941036,1.2980491105391812
2021-01-04T05:00:00+00:00,2021-01-04T05:30:00+00:00,2021-01-04T06:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.04662369363100061,0.03571777022325038,1.3053360649218535
2021-01-04T06:30:00+00:00,2021-01-04T07:00:00+00:00,2021-01-04T07:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.039442825112107616,0.038442825112107636,-1.0260126563821406
2021-01-04T07:30:00+00:00,2021-01-04T08:00:00+00:00,2021-01-04T08:30:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.04917309063257444,0.044423090632574505,-1.1069263739276363
2021-01-04T12:30:00+00:00,2021-01-04T13:00:00+00:00,2021-01-05T00:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.07779546745789186,0.05973734059341888,1.3022921121879067
2021-01-05T00:30:00+00:00,2021-01-05T01:00:00+00:00,2021-01-05T03:30:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.05361864676707462,0.05261864676707471,-1.0190046696644743
2021-01-05T08:00:00+00:00,2021-01-05T08:30:00+00:00,2021-01-05T19:30:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.07084722276132427,0.05388541707099331,1.3147754367008797
2021-01-09T12:00:00+00:00,2021-01-09T12:30:00+00:00,2021-01-09T20:30:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.04037307604643181,0.03220661703482392,1.2535646324721958
2021-01-09T23:00:00+00:00,2021-01-09T23:30:00+00:00,2021-01-10T01:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.027092732185675303,0.023623464139256575,1.1468568718782284
2021-01-10T13:00:00+00:00,2021-01-10T13:30:00+00:00,2021-01-10T15:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.02740520277826397,0.026405202778263834,-1.0378713243900295
2021-01-10T16:00:00+00:00,2021-01-10T16:30:00+00:00,2021-01-10T17:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.028500666209837044,0.027500666209837082,-1.0363627554463484
2021-01-11T23:00:00+00:00,2021-01-11T23:30:00+00:00,2021-01-12T14:30:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.06709426689288983,0.0655434268928899,-1.0236612590082341
2021-01-13T07:30:00+00:00,2021-01-13T08:00:00+00:00,2021-01-13T22:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.04901424488009339,0.03759948366007002,1.3035882440094688
2021-01-16T08:30:00+00:00,2021-01-16T09:00:00+00:00,2021-01-16T15:30:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.03734408487425067,0.028758063655688042,1.2985604775537245
2021-01-17T16:00:00+00:00,2021-01-17T16:30:00+00:00,2021-01-18T03:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.02842997277699528,0.026339152776995337,-1.079380685388866
2021-01-20T00:00:00+00:00,2021-01-20T00:30:00+00:00,2021-01-20T03:30:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.029110994347782637,0.028110994347782643,-1.035573270288067
2021-01-20T23:00:00+00:00,2021-01-20T23:30:00+00:00,2021-01-21T02:30:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.03207666468775848,0.030727294687758464,-1.0439143768988421
2021-01-22T11:00:00+00:00,2021-01-22T11:30:00+00:00,2021-01-22T19:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.05479906415035718,0.04184929811276796,1.309438069969406
2021-01-23T19:00:00+00:00,2021-01-23T19:30:00+00:00,2021-01-23T21:30:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.0220718154332058,0.02107181543320585,-1.047456755834341
2021-01-24T04:00:00+00:00,2021-01-24T04:30:00+00:00,2021-01-24T05:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.024138748446557723,0.018854061334918303,1.2802943629896872
2021-01-24T05:30:00+00:00,2021-01-24T06:00:00+00:00,2021-01-24T14:30:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.019631871234939702,0.01863187123493977,-1.0536714743994506
2021-01-24T16:30:00+00:00,2021-01-24T17:00:00+00:00,2021-01-24T17:30:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.023046609107227112,0.018034956830420265,1.2778854601056486
2021-01-24T18:30:00+00:00,2021-01-24T19:00:00+00:00,2021-01-24T19:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.019483197850035605,0.01848319785003554,-1.0541031918888508
2021-01-24T19:30:00+00:00,2021-01-24T20:00:00+00:00,2021-01-24T22:30:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.02517309376968868,0.019629820327266432,1.2823904320062711
2021-01-26T19:00:00+00:00,2021-01-26T19:30:00+00:00,2021-01-27T04:00:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,stop,-0.030442291106457794,0.02907887110645777,-1.046886964593933
2021-01-28T03:30:00+00:00,2021-01-28T04:00:00+00:00,2021-01-28T13:30:00+00:00,2021,insufficient_history,insufficient_history,insufficient_history,,,,,take,0.038126436772686,0.029419827579514495,1.295943583273549
