period,months,trades,expectancy_r,total_r,top_1_r,top_1_profit_share,without_top_1_r,without_top_1_expectancy_r,top_3_r,top_3_profit_share,without_top_3_r,without_top_3_expectancy_r,top_5_r,top_5_profit_share,without_top_5_r,without_top_5_expectancy_r
2021-01,3,33,0.1193529551175429,3.9386475188789154,1.3137934243803762,0.3335646102077015,2.6248540944985397,0.08202669045307937,3.9325809130105824,0.9984597235880454,0.006066605868332964,0.0002022201956110988,6.543069270298476,1.6612477351517039,-2.60442175141956,-0.09301506255069857
2021-04,3,47,0.0438857197307323,2.062628827344418,1.3208060180495986,0.64035079920322,0.7418228092948193,0.01612658281075694,3.9492924214988516,1.9146888519848067,-1.886663594154434,-0.042878718048964405,6.563550831446909,3.1821289145353955,-4.500922004102491,-0.10716480962148787
2021-07,3,19,0.12497958607503137,2.374612135425596,1.305712472860244,0.5498634717565041,1.068899662565352,0.059383314586964005,3.895976892549731,1.6406792648061088,-1.521364757124135,-0.09508529732025844,6.474912735535984,2.726724351712075,-4.100300600110388,-0.2928786142935991
2021-10,3,11,-0.3417159469668927,-3.75887541663582,1.2929834277016747,-0.3439814530641961,-5.051858844337495,-0.5051858844337495,3.176301560086683,-0.8450137895044847,-6.935176976722503,-0.8668971220903129,2.565725203741169,-0.6825778775178146,-6.324600620376989,-1.0541001033961648
2022-01,3,5,0.2667635270962346,1.3338176354811728,1.304390695451364,0.9779378085526713,0.029426940029808835,0.007356735007452209,3.094985965919201,2.320396644630275,-1.7611683304380283,-0.8805841652190142,1.3338176354811728,1.0,0,
2022-04,3,13,-0.3182973949473343,-4.137866134315345,1.2960929222448778,-0.31322736893211034,-5.433959056560224,-0.45282992138001865,3.8718911577790647,-0.9357217058496531,-8.00975729209441,-0.800975729209441,4.127690276267171,-0.9975407957343555,-8.265556410582517,-1.0331945513228147
2022-07,3,12,0.3987734170243861,4.785281004292633,1.2966684617144482,0.27097018138564327,3.4886125425781853,0.31714659477983503,3.887002155844052,0.8122829468859236,0.8982788484485811,0.09980876093873123,6.453362460079459,1.3485858937626598,-1.6680814557868262,-0.23829735082668946
2022-10,3,4,-0.452249416074864,-1.808997664299456,1.3162131657026146,-0.7275925180435903,-3.1252108300020707,-1.0417369433340236,-0.7438485245254531,0.4111937451359355,-1.065149139774003,-1.065149139774003,-1.808997664299456,1.0,0,
2023-01,3,2,0.7093253655994771,1.4186507311989542,1.2719439044276715,0.8965870714017852,0.14670682677128266,0.14670682677128266,1.4186507311989542,1.0,0,,1.4186507311989542,1.0,0,
2023-04,3,2,-0.6502896457217504,-1.3005792914435008,-0.235695915467698,0.18122379544126163,-1.0648833759758027,-1.0648833759758027,-1.3005792914435008,1.0,0,,-1.3005792914435008,1.0,0,
