start,end,months,trades,expectancy_r,total_r,top_1_r,top_1_profit_share,without_top_1_r,without_top_1_expectancy_r,top_3_r,top_3_profit_share,without_top_3_r,without_top_3_expectancy_r,top_5_r,top_5_profit_share,without_top_5_r,without_top_5_expectancy_r
2021-01-01T00:00:00+00:00,2021-07-01T00:00:00+00:00,6,80,0.07501595432779166,6.001276346223333,1.3208060180495986,0.22008751836278892,4.680470328173735,0.05924645985030044,3.949664256840043,0.658137374281324,2.0516120893832905,0.02664431284913364,6.5749084768326655,1.0955850218379504,-0.5736321306093323,-0.007648428408124431
2021-02-01T00:00:00+00:00,2021-08-01T00:00:00+00:00,6,65,0.024592114733886554,1.598487457702626,1.3208060180495986,0.8262848805506952,0.27768143965302744,0.004338772494578554,3.9492924214988516,2.4706433588004773,-2.3508049637962256,-0.037916209093487516,6.565341940682513,4.107221429261846,-4.966854482979887,-0.08278090804966479
2021-03-01T00:00:00+00:00,2021-09-01T00:00:00+00:00,6,63,0.03577118448931215,2.2535846228266654,1.3208060180495986,0.5860911565827579,0.9327786047770668,0.015044816206081722,3.9492924214988516,1.752449134368544,-1.6957077986721865,-0.02826179664453644,6.563550831446909,2.9124936179295826,-4.309966208620244,-0.0743097622175904
2021-04-01T00:00:00+00:00,2021-10-01T00:00:00+00:00,6,66,0.06723092367833354,4.437240962770014,1.3208060180495986,0.29766380260427994,3.116434944720415,0.047945152995698695,3.9492924214988516,0.8900333460893336,0.4879485412711621,0.007745214940812097,6.56416772348478,1.4793354200415116,-2.1269267607147664,-0.03486765181499617
2021-05-01T00:00:00+00:00,2021-11-01T00:00:00+00:00,6,51,-0.013812540400179778,-0.7044395604091687,1.3208060180495986,-1.8749742238814895,-2.0252455784587675,-0.04050491156917534,3.9492924214988516,-5.606289940906972,-4.65373198190802,-0.09695274962308376,6.56416772348478,-9.31828377110455,-7.268607283893949,-0.1580132018237815
2021-06-01T00:00:00+00:00,2021-12-01T00:00:00+00:00,6,38,-0.0904342409645622,-3.436501156653363,1.305712472860244,-0.37995403270337097,-4.742213629513607,-0.12816793593280018,3.9012321856926278,-1.13523377640642,-7.337733342345991,-0.2096495240670283,6.490673457595613,-1.8887447324232989,-9.927174614248976,-0.3008234731590599
2021-07-01T00:00:00+00:00,2022-01-01T00:00:00+00:00,6,30,-0.046142109373674134,-1.384263281210224,1.305712472860244,-0.9432544304134794,-2.689975754070468,-0.09275778462311958,3.895976892549731,-2.814476801800004,-5.280240173759955,-0.19556445087999832,6.479321440974346,-4.680700217165083,-7.863584722184569,-0.31454338888738276
2021-08-01T00:00:00+00:00,2022-02-01T00:00:00+00:00,6,27,-0.00968701220650638,-0.26154932957567223,1.305712472860244,-4.992222595173854,-1.5672618024359164,-0.06027930009368909,3.895976892549731,-14.895763253801556,-4.157526222125403,-0.17323025925522514,6.477535042514719,-24.766016617299794,-6.7390843720903915,-0.3063220169131996
2021-09-01T00:00:00+00:00,2022-03-01T00:00:00+00:00,6,22,-0.019931806091053147,-0.4384997340031692,1.305712472860244,-2.9776813338974732,-1.7442122068634134,-0.08305772413635301,3.9050463314171973,-8.905470240009254,-4.343546065420366,-0.22860768765370348,6.4866044813821855,-14.792721587683573,-6.925104215385355,-0.4073590714932562
2021-10-01T00:00:00+00:00,2022-04-01T00:00:00+00:00,6,16,-0.15156611132216546,-2.4250577811546474,1.304390695451364,-0.5378802540656585,-3.729448476606011,-0.24862989844040076,3.8772835773988326,-1.5988417296814816,-6.3023413585534795,-0.48479548911949844,5.757111315613987,-2.3740099557021037,-8.182169096768634,-0.743833554251694
2021-11-01T00:00:00+00:00,2022-05-01T00:00:00+00:00,6,17,-0.06823186782878117,-1.15994175308928,1.304390695451364,-1.1245312033792838,-2.464332448540644,-0.15402077803379025,3.8772835773988326,-3.3426536867669774,-5.037225330488113,-0.3598018093205795,6.4226348887521985,-5.537032244633625,-7.582576641841478,-0.6318813868201232
2021-12-01T00:00:00+00:00,2022-06-01T00:00:00+00:00,6,14,-0.019974563469478235,-0.2796438885726953,1.304390695451364,-4.664470595474068,-1.5840345840240593,-0.12184881415569687,3.8742648845919327,-13.854280543609276,-4.153908773164628,-0.37762807028769346,5.746605814008573,-20.549727881911874,-6.026249702581268,-0.6695833002868076
2022-01-01T00:00:00+00:00,2022-07-01T00:00:00+00:00,6,18,-0.15578047215745405,-2.804048498834173,1.304390695451364,-0.4651812177976539,-4.108439194285537,-0.24167289378150217,3.8939387467608704,-1.3886845211057641,-6.697987245595043,-0.4465324830396696,6.452700913306368,-2.3012087401445376,-9.256749412140541,-0.712057647087734
2022-02-01T00:00:00+00:00,2022-08-01T00:00:00+00:00,6,22,0.08070634112826934,1.7755395048219256,1.304390695451364,0.7346447048398315,0.4711488093705616,0.02243565758907436,3.8970779418080435,2.194869745913591,-2.121538436986118,-0.11165991773611147,6.484272440890475,3.6520012217586806,-4.708732936068549,-0.2769842903569735
2022-03-01T00:00:00+00:00,2022-09-01T00:00:00+00:00,6,22,0.049165741418730764,1.0816463112120769,1.2965943241118019,1.1987230120156906,-0.214948012899725,-0.010235619661891668,3.8864266163744823,3.5930660291527365,-2.804780305162405,-0.14762001606117922,6.469765951143584,5.981406199124056,-5.388119639931507,-0.31694821411361807
2022-04-01T00:00:00+00:00,2022-10-01T00:00:00+00:00,6,25,0.025896594799091507,0.6474148699772877,1.2966684617144482,2.002840098127399,-0.6492535917371605,-0.027052232989048353,3.889355708071128,6.007516800174164,-3.24194083809384,-0.14736094718608364,6.476550207153559,10.003709379398044,-5.829135337176272,-0.29145676685881355
2022-05-01T00:00:00+00:00,2022-11-01T00:00:00+00:00,6,22,0.06761589833963415,1.4875497634719512,1.2966684617144482,0.8716807286419885,0.19088130175750304,0.009089585797976335,3.889355708071128,2.614605442841351,-2.4018059445991766,-0.12641083918943036,6.476550207153559,4.353837677360955,-4.989000443681608,-0.29347061433421223
2022-06-01T00:00:00+00:00,2022-12-01T00:00:00+00:00,6,23,0.018478651220005565,0.425008978060128,1.3162131657026146,3.0969067329123665,-0.8912041876424865,-0.04050928125647666,3.9094759515288646,9.198572626331138,-3.4844669734687366,-0.17422334867343683,6.499308243791544,15.292166940699444,-6.074299265731417,-0.33746107031841205
2022-07-01T00:00:00+00:00,2023-01-01T00:00:00+00:00,6,16,0.18601770874957357,2.976283339993177,1.3162131657026146,0.4422338249911488,1.6600701742905628,0.11067134495270418,3.9094759515288646,1.3135429342348255,-0.9331926115356872,-0.07178404704120671,6.4930995272511405,2.1816133699374283,-3.5168161872579633,-0.3197105624779967
2022-08-01T00:00:00+00:00,2023-02-01T00:00:00+00:00,6,11,-0.08060536559628147,-0.8866590215590961,1.3162131657026146,-1.484463738256667,-2.2028721872617107,-0.22028721872617107,3.8893577259479963,-4.386531497879503,-4.776016747507093,-0.5970020934383866,4.477297948548428,-5.049627691912019,-5.363956970107525,-0.8939928283512542
2022-09-01T00:00:00+00:00,2023-03-01T00:00:00+00:00,6,9,-0.09112257985411362,-0.8201032186870226,1.3162131657026146,-1.6049359833142214,-2.1363163843896373,-0.26703954804870467,3.1644321359585836,-3.858577876361477,-3.984535354645606,-0.6640892257742677,3.3475286767887775,-4.0818382375673865,-4.1676318954758,-1.04190797386895
2022-10-01T00:00:00+00:00,2023-04-01T00:00:00+00:00,6,6,-0.06505782218341699,-0.39034693310050195,1.3162131657026146,-3.371905999742366,-1.7065600988031164,-0.3413120197606233,2.734863896901569,-7.006238976130057,-3.1252108300020707,-1.0417369433340236,0.674802206673501,-1.7287242436198693,-1.065149139774003,-1.065149139774003
2022-11-01T00:00:00+00:00,2023-05-01T00:00:00+00:00,6,7,-0.0894346926526,-0.6260428485681999,1.3162131657026146,-2.1024330342769324,-1.9422560142708145,-0.32370933571180244,2.734863896901569,-4.368493152116309,-3.3609067454697685,-0.8402266863674421,1.4736784708579111,-2.353957838873662,-2.099721319426111,-1.0498606597130555
2022-12-01T00:00:00+00:00,2023-06-01T00:00:00+00:00,6,3,0.3943182719104187,1.1829548157312562,1.2719439044276715,1.075226109664557,-0.08898908869641534,-0.04449454434820767,1.1829548157312562,1.0,0,,1.1829548157312562,1.0,0,
2023-01-01T00:00:00+00:00,2023-07-01T00:00:00+00:00,6,4,0.02951785993886335,0.1180714397554534,1.2719439044276715,10.772663626886313,-1.153872464672218,-0.38462415489073937,1.1829548157312562,10.01897510677741,-1.0648833759758027,-1.0648833759758027,0.1180714397554534,1.0,0,
2023-02-01T00:00:00+00:00,2023-08-01T00:00:00+00:00,6,5,-0.034695264720724324,-0.1734763236036216,1.2719439044276715,-7.332089348019348,-1.445420228031293,-0.3613550570078233,1.1829548157312562,-6.819113935306847,-1.3564311393348778,-0.6782155696674389,-0.1734763236036216,1.0,0,
