signal_ts,signal_time,entry_time,exit_time,calendar_year,quarter,half_year,regime,exit_reason,gross_return,funding_return,cost_return,net_return,initial_risk_return,result_r
1612929600000,2021-02-10T04:00:00+00:00,2021-02-10T05:00:00+00:00,2021-02-10T12:00:00+00:00,2021,2021-01,2021-01,insufficient_history,stop,-0.028297153432182642,0.0,0.001,-0.029297153432182643,0.028297153432182604,-1.0353392436591424
1613034000000,2021-02-11T09:00:00+00:00,2021-02-11T10:00:00+00:00,2021-02-12T10:00:00+00:00,2021,2021-01,2021-01,insufficient_history,time,0.0012608771860387336,-0.00323165,0.001,-0.0029707728139612664,0.027987727650527816,-0.10614555247414811
1613156400000,2021-02-12T19:00:00+00:00,2021-02-12T20:00:00+00:00,2021-02-13T07:00:00+00:00,2021,2021-01,2021-01,insufficient_history,stop,-0.0201821576043959,0.0,0.001,-0.0211821576043959,0.020182157604395845,-1.0495487162275579
1613386800000,2021-02-15T11:00:00+00:00,2021-02-15T12:00:00+00:00,2021-02-16T12:00:00+00:00,2021,2021-01,2021-01,insufficient_history,time,0.008293468055617703,-0.00194083,0.001,0.005352638055617703,0.02512455570706845,0.213044087944282
1613689200000,2021-02-18T23:00:00+00:00,2021-02-19T00:00:00+00:00,2021-02-19T02:00:00+00:00,2021,2021-01,2021-01,insufficient_history,stop,-0.019427250762446446,0.0,0.001,-0.020427250762446447,0.01942725076244642,-1.051474087210171
1614117600000,2021-02-23T22:00:00+00:00,2021-02-23T23:00:00+00:00,2021-02-24T23:00:00+00:00,2021,2021-01,2021-01,insufficient_history,time,0.03458644700545954,0.0,0.001,0.03358644700545954,0.07636898049933426,0.4397917424830927
1614348000000,2021-02-26T14:00:00+00:00,2021-02-26T15:00:00+00:00,2021-02-26T20:00:00+00:00,2021,2021-01,2021-01,insufficient_history,stop,-0.040933779982476604,0.0,0.001,-0.041933779982476604,0.04093377998247662,-1.024429700858999
1614542400000,2021-02-28T20:00:00+00:00,2021-02-28T21:00:00+00:00,2021-03-01T09:00:00+00:00,2021,2021-01,2021-01,insufficient_history,take,0.05545757362839088,-0.0001,0.001,0.05435757362839087,0.04159318022129326,1.3068866900579772
1615057200000,2021-03-06T19:00:00+00:00,2021-03-06T20:00:00+00:00,2021-03-06T21:00:00+00:00,2021,2021-01,2021-01,insufficient_history,take,0.02815056375102487,0.0,0.001,0.02715056375102487,0.02111292281326863,1.2859689769699638
1615878000000,2021-03-16T07:00:00+00:00,2021-03-16T08:00:00+00:00,2021-03-17T08:00:00+00:00,2021,2021-01,2021-01,insufficient_history,time,-0.009551167364900137,-0.00034812,0.001,-0.010899287364900138,0.02418559490604408,-0.45065202684662353
1616518800000,2021-03-23T17:00:00+00:00,2021-03-23T18:00:00+00:00,2021-03-23T20:00:00+00:00,2021,2021-01,2021-01,insufficient_history,stop,-0.021753087929558546,0.0,0.001,-0.022753087929558546,0.021753087929558528,-1.045970484891076
1616706000000,2021-03-25T21:00:00+00:00,2021-03-25T22:00:00+00:00,2021-03-26T16:00:00+00:00,2021,2021-01,2021-01,insufficient_history,take,0.03382609397206049,-0.0001,0.001,0.032726093972060485,0.02536957047904526,1.289974302051805
1617256800000,2021-04-01T06:00:00+00:00,2021-04-01T07:00:00+00:00,2021-04-01T08:00:00+00:00,2021,2021-04,2021-01,insufficient_history,take,0.026697341779851724,0.0,0.001,0.025697341779851723,0.020023006334888845,1.2833907830851405
1617300000000,2021-04-01T18:00:00+00:00,2021-04-01T19:00:00+00:00,2021-04-02T14:00:00+00:00,2021,2021-04,2021-01,insufficient_history,take,0.02756816555615882,-0.00172251,0.001,0.024845655556158818,0.02067612416711919,1.2016592353256588
1617418800000,2021-04-03T03:00:00+00:00,2021-04-03T04:00:00+00:00,2021-04-03T16:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.01916842599388091,-0.0022965,0.001,-0.022464925993880912,0.019168425993880894,-1.1719755185455683
1617541200000,2021-04-04T13:00:00+00:00,2021-04-04T14:00:00+00:00,2021-04-05T03:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.023852281512141027,-0.00072788,0.001,-0.025580161512141028,0.023852281512140985,-1.0724408689844005
1617865200000,2021-04-08T07:00:00+00:00,2021-04-08T08:00:00+00:00,2021-04-09T00:00:00+00:00,2021,2021-04,2021-01,weak_low,take,0.03330935263615209,-0.00038906,0.001,0.03192029263615209,0.024982014477114067,1.2777309318027237
1618444800000,2021-04-15T00:00:00+00:00,2021-04-15T01:00:00+00:00,2021-04-15T22:00:00+00:00,2021,2021-04,2021-01,weak_low,take,0.03634622111679442,-0.00110097,0.001,0.03424525111679442,0.027259665837595745,1.2562608551702918
1618603200000,2021-04-16T20:00:00+00:00,2021-04-16T21:00:00+00:00,2021-04-17T13:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.029371262357104966,-0.0009833,0.001,-0.031354562357104966,0.029371262357105066,-1.0675251875757437
1618776000000,2021-04-18T20:00:00+00:00,2021-04-18T21:00:00+00:00,2021-04-19T14:00:00+00:00,2021,2021-04,2021-01,weak_low,stop,-0.04452872795777241,-0.0002,0.001,-0.04572872795777241,0.04452872795777247,-1.0269488946807086
1618912800000,2021-04-20T10:00:00+00:00,2021-04-20T11:00:00+00:00,2021-04-20T18:00:00+00:00,2021,2021-04,2021-01,weak_low,take,0.047218111031178234,0.0,0.001,0.04621811103117823,0.03541358327338375,1.3050955808223728
1619010000000,2021-04-21T13:00:00+00:00,2021-04-21T14:00:00+00:00,2021-04-22T05:00:00+00:00,2021,2021-04,2021-01,strong_low,take,0.040383756316832775,-0.00023315,0.001,0.03915060631683277,0.03028781723762455,1.2926189434410138
1619071200000,2021-04-22T06:00:00+00:00,2021-04-22T07:00:00+00:00,2021-04-22T12:00:00+00:00,2021,2021-04,2021-01,strong_low,take,0.04215794707021292,-0.00011151,0.001,0.04104643707021292,0.03161846030265962,1.298179502648339
