scenario,source_trades,kept_trades,dropped,cost_model,execution_delay_bars,adverse_each_side,funding_multiplier,missed_percent,seed,trades,expectancy_r,total_r,top_1_r,top_1_profit_share,without_top_1_r,without_top_1_expectancy_r,top_3_r,top_3_profit_share,without_top_3_r,without_top_3_expectancy_r,top_5_r,top_5_profit_share,without_top_5_r,without_top_5_expectancy_r
cost_0_16pct,185,185,0,"{'taker_fee_bps': 8, 'half_spread_bps': 0, 'slippage_bps': 0}",1,0.0,1.0,0,,185,0.06599886093819918,12.209789273566848,1.3132896288793565,0.10756038449594839,10.896499644687493,0.059220106764605936,3.9240931339284932,0.32138909574990127,8.285696139638356,0.04552580296504591,6.530266315993202,0.5348385766272536,5.679522957573647,0.031552905319853594
entry_delay_1_extra_bar,185,185,0,"{'taker_fee_bps': 5, 'half_spread_bps': 0, 'slippage_bps': 0}",2,0.0,1.0,0,,185,-0.012746114790644936,-2.358031236269313,1.3206205298038363,-0.5600521780590216,-3.6786517660731493,-0.0199926726417019,3.957089209092671,-1.6781326507587995,-6.315120445361984,-0.034698463985505405,6.584607970226149,-2.792417618964109,-8.942639206495462,-0.04968132892497479
missed_5pct,185,178,0,"{'taker_fee_bps': 5, 'half_spread_bps': 0, 'slippage_bps': 0}",1,0.0,1.0,5,5005,178,0.04775436726308287,8.50027737282875,1.3208060180495986,0.1553838727982657,7.179471354779151,0.040561985055249446,3.9520839981622817,0.46493588677413883,4.548193374666469,0.025989676426665536,6.579299011581843,0.7740099202659739,1.9209783612469078,0.011103921163276924
missed_10pct,185,158,0,"{'taker_fee_bps': 5, 'half_spread_bps': 0, 'slippage_bps': 0}",1,0.0,1.0,10,1010,158,0.08277684206417776,13.078741046140086,1.3208060180495986,0.10098877356696397,11.757935028090488,0.07489130591140439,3.9520839981622817,0.3021761792071459,9.126657047977806,0.05888165837405036,6.579299011581843,0.5030529305818455,6.499442034558244,0.0424800132977663
missed_20pct,185,160,0,"{'taker_fee_bps': 5, 'half_spread_bps': 0, 'slippage_bps': 0}",1,0.0,1.0,20,2020,160,0.15308299596385908,24.493279354217453,1.3208060180495986,0.05392524206123389,23.17247333616785,0.1457388260136343,3.9520839981622817,0.16135381224408318,20.54119535605517,0.13083563921054248,6.579299011581843,0.2686165015485754,17.913980342635607,0.11557406672668134
adverse_slippage,185,185,0,"{'taker_fee_bps': 5, 'half_spread_bps': 0, 'slippage_bps': 0}",1,0.0003,1.0,0,,185,0.06599886093819911,12.209789273566834,1.3132896288793565,0.10756038449594851,10.896499644687479,0.05922010676460586,3.9240931339284932,0.32138909574990165,8.285696139638342,0.04552580296504583,6.530266315993202,0.5348385766272543,5.679522957573632,0.03155290531985351
funding_x2,185,185,0,"{'taker_fee_bps': 5, 'half_spread_bps': 0, 'slippage_bps': 0}",1,0.0,2.0,0,,185,0.08196751747673646,15.163990733196245,1.3208060180495986,0.08710147884475797,13.843184715146647,0.07523469953884047,3.9520839981622817,0.2606229499672918,11.211906735033963,0.06160388315952728,6.579299011581843,0.43387648590280214,8.584691721614403,0.047692731786746684
combined,185,158,0,"{'taker_fee_bps': 8, 'half_spread_bps': 0, 'slippage_bps': 0}",1,0.0003,2.0,10,1010,158,0.030328335481500886,4.79187700607714,1.3057732397091144,0.27249723606284354,3.4861037663680254,0.02220448258833137,3.894584795957014,0.8127472368380564,0.8972922101201259,0.005788982000775006,6.474457825480043,1.3511318878320593,-1.682580819402903,-0.010997260257535314
