day_iso,decision_iso,status,symbols,weights,momenta,participation_caps,vol_multiplier,gross_return,funding_return,turnover,net_realistic,net_stress,equity_realistic,equity_stress,violations
2020-05-11T00:00:00Z,2020-05-11T00:00:00Z,active,ADAUSDT|ETHUSDT|LINKUSDT|BNBUSDT,0.064148919903|0.064148919903|0.064148919903|0.064148919903,0.432180451128|0.189168621980|0.168012422360|0.116793113510,14733.655732600000|200201.312376100017|26854.822315199999|9211.611903000001,0.256595679614,-0.004226251963,-0.000051447434,0.256595679614,-0.004585614212,-0.004790890756,0.995414385788,0.995209109244,
2020-05-12T00:00:00Z,,hold,ADAUSDT|ETHUSDT|LINKUSDT|BNBUSDT,0.064148919903|0.064148919903|0.064148919903|0.064148919903,0.432180451128|0.189168621980|0.168012422360|0.116793113510,14733.655732600000|200201.312376100017|26854.822315199999|9211.611903000001,0.256595679614,0.009675275204,-0.000019656512,0.000000000000,0.009655618692,0.009655618692,1.005025727537,1.004818468922,
2020-05-13T00:00:00Z,,hold,ADAUSDT|ETHUSDT|LINKUSDT|BNBUSDT,0.064148919903|0.064148919903|0.064148919903|0.064148919903,0.432180451128|0.189168621980|0.168012422360|0.116793113510,14733.655732600000|200201.312376100017|26854.822315199999|9211.611903000001,0.256595679614,0.007553476736,0.000041445334,0.000000000000,0.007594922070,0.007594922070,1.012658819617,1.012449986888,
2020-05-14T00:00:00Z,,hold,ADAUSDT|ETHUSDT|LINKUSDT|BNBUSDT,0.064148919903|0.064148919903|0.064148919903|0.064148919903,0.432180451128|0.189168621980|0.168012422360|0.116793113510,14733.655732600000|200201.312376100017|26854.822315199999|9211.611903000001,0.256595679614,0.002043287649,0.000026534559,0.000000000000,0.002069822208,0.002069822208,1.014754843330,1.014545578355,
2020-05-15T00:00:00Z,,hold,ADAUSDT|ETHUSDT|LINKUSDT|BNBUSDT,0.064148919903|0.064148919903|0.064148919903|0.064148919903,0.432180451128|0.189168621980|0.168012422360|0.116793113510,14733.655732600000|200201.312376100017|26854.822315199999|9211.611903000001,0.256595679614,-0.008504820743,-0.000025998916,0.000000000000,-0.008530819659,-0.008530819659,1.006098152764,1.005890672990,
2020-05-16T00:00:00Z,,hold,ADAUSDT|ETHUSDT|LINKUSDT|BNBUSDT,0.064148919903|0.064148919903|0.064148919903|0.064148919903,0.432180451128|0.189168621980|0.168012422360|0.116793113510,14733.655732600000|200201.312376100017|26854.822315199999|9211.611903000001,0.256595679614,0.005938394008,-0.000028565514,0.000000000000,0.005909828494,0.005909828494,1.012044020295,1.011835314351,
2020-05-17T00:00:00Z,,hold,ADAUSDT|ETHUSDT|LINKUSDT|BNBUSDT,0.064148919903|0.064148919903|0.064148919903|0.064148919903,0.432180451128|0.189168621980|0.168012422360|0.116793113510,14733.655732600000|200201.312376100017|26854.822315199999|9211.611903000001,0.256595679614,0.003636473160,-0.000034921389,0.000000000000,0.003601551771,0.003601551771,1.015688949228,1.015479491619,
2020-05-18T00:00:00Z,2020-05-18T00:00:00Z,active,ADAUSDT|ETHUSDT|LINKUSDT|XRPUSDT,0.071355095567|0.071355095567|0.071355095567|0.071355095567,0.495043731778|0.213238742964|0.095251881876|0.066277836691,3738.851811064997|65294.000894470395|8262.275720020447|3629.670188793452,0.285420382267,0.010572902400,-0.000149788617,0.157122542460,0.010234566732,0.010108868698,1.026084085558,1.025744840466,
2020-05-19T00:00:00Z,,hold,ADAUSDT|ETHUSDT|LINKUSDT|XRPUSDT,0.071355095567|0.071355095567|0.071355095567|0.071355095567,0.495043731778|0.213238742964|0.095251881876|0.066277836691,3738.851811064997|65294.000894470395|8262.275720020447|3629.670188793452,0.285420382267,0.004074406381,-0.000131094295,0.000000000000,0.003943312086,0.003943312086,1.030130255334,1.029789672492,
2020-05-20T00:00:00Z,,hold,ADAUSDT|ETHUSDT|LINKUSDT|XRPUSDT,0.071355095567|0.071355095567|0.071355095567|0.071355095567,0.495043731778|0.213238742964|0.095251881876|0.066277836691,3738.851811064997|65294.000894470395|8262.275720020447|3629.670188793452,0.285420382267,-0.000015833190,-0.000064363723,0.000000000000,-0.000080196913,-0.000080196913,1.030047642067,1.029707086539,
