active_assets,annualized_sharpe,daily_sharpe,exit,invalid_reason,key,long_net_pnl,long_trades,max_asset_positive_share,max_drawdown,median_fold_sharpe,net_return,positive_folds,short_net_pnl,short_trades,side,tf,trades,valid,z
10,-0.2468351913098466,-0.012919944406870575,tp11,,0921cac5b94f9ac0f6bb,-7656.208705024218,142,0.2002440038708676,-1.334338945813198,0.08152226999486668,-0.7656208705024218,7,0.0,0,long,1d,142,True,3.0
10,-0.8743860870590924,-0.04576745955467783,tp11,,204bff7e08cab732e4a8,-67490.64955573484,3967,0.12433454413001632,-9.885062237787954,0.0,-23.284581635945976,0,-165355.16680372483,3898,both,1h,7865,True,3.0
10,0.35200039370568204,0.018424542682672768,time3,,328145467627b4c4beb5,122342.95436444184,2217,0.1402059681879412,-4.989565319155474,0.0,-7.896122421034311,1,-201304.1785747851,2087,both,1h,4304,True,3.0
10,0.6890908820504389,0.036068665250399104,tp11,,492e7ee48a64d42948d5,25837.995028357716,4946,0.12257196431338027,-0.7279019224926455,0.1513995965472883,2.5837995028357716,6,0.0,0,long,2h,4946,True,2.0
10,-0.009255664456033999,-0.0004844636195756133,time3,,4956ea3ba604139705f6,51730.70434338738,1211,0.11919053759300696,-1.19722013017961,1.1511979639177474,5.1730704343387375,7,0.0,0,long,4h,1211,True,3.0
10,-0.1050330736363121,-0.005497682340442524,time3,,5195c8229f0e76fa781f,100132.17418277332,2864,0.12957101371077,-3.5937015988658807,0.0,-14.10918071262457,0,-241223.98130901874,2656,both,1h,5520,True,2.0
10,1.177932594969526,0.061655809940581875,tp11,,5aea2964f7aab46bd159,96642.35313189663,2373,0.12941188934091022,-0.49454083578634067,0.0029371185012992697,9.664235313189662,6,0.0,0,long,4h,2373,True,2.0
10,-0.5621020167848949,-0.029421764252141987,tp11,,7c83dd62405364fee0da,6669.805708660997,3681,0.12384380033259663,-24.869914794054196,0.0,-21.00908805501236,0,-216760.68625878482,3652,both,2h,7333,True,2.0
10,-0.6202149528496543,-0.032463534346967055,time3,,82aa8d0b49bc55c09255,166673.6006666885,2407,0.163831849389594,-3.5959498887152606,0.0,-6.885915251339454,0,-235532.75318008283,2310,both,2h,4717,True,2.0
10,0.7939056185806609,0.04155491930438996,time3,,82ea92b09d801528afb9,118697.51852069018,3060,0.1427230455043322,-0.5551301608758583,0.21845238270808054,11.869751852069019,6,0.0,0,long,1h,3060,True,3.0
10,-0.42982299669999396,-0.022497963895219134,tp11,,8af625f4e036b4c0c9e6,-8481.201565403488,1992,0.13000007758666016,-9.047849537227922,0.0,-9.456521484660717,0,-86084.01328120352,2119,both,2h,4111,True,3.0
10,-0.7091823343580018,-0.03712029992813498,time3,,8b9c43a5ac070ab6e5f3,105878.37336363214,1756,0.14747336903213945,-20.104975980787767,0.0,-12.76186946420955,0,-233497.068005727,1756,both,4h,3512,True,2.0
10,-0.6263143443564139,-0.0327827910897552,tp11,,957593b06d6d41d3e890,-62122.08928050187,7235,0.11949966023935722,-25.739777151828555,0.0,-28.922272527295064,0,-227100.6359924491,6965,both,1h,14200,True,2.0
