key,family,signal_tf_minutes,regime_tf_minutes,fast_window,slow_window,entry_threshold,stop_atr,take_atr,max_holding_days,side,valid,zero_trade,trades,net_pnl,net_return,daily_sharpe,annualized_sharpe,median_fold_sharpe,positive_folds,max_drawdown,active_assets,max_asset_positive_share,long_trades,short_trades,long_net_pnl,short_net_pnl,missing_bars,funding_events
00e730d74f9ce6a05485,A,1440,10080,20,100,0.01,2.0,4.0,20,both,True,False,150,-3989.02110144061,-0.0398902110144061,-0.07945284085815643,-1.5179443932362966,-0.7376075706860129,3,-0.5278081045817444,10,0.21445861545123104,117,33,-3893.533633900692,-95.48746753991865,3,5520
00fb32230f34a431d404,A,1440,10080,20,50,0.01,3.0,6.0,10,long,True,False,90,-1235.7587586676607,-0.012357587586676606,-0.038181601517137925,-0.7294584727460027,-1.4792458859423672,2,-0.18435094957924003,8,0.2254165974291265,90,0,-1235.7587586676607,0.0,0,2405
0299531ab7a24a3d0256,A,1440,10080,10,100,0.01,3.0,6.0,20,long,True,False,103,-3040.449162661202,-0.03040449162661202,-0.05736268680764572,-1.0959125926797715,-2.5755753290860106,2,-0.40660098779935516,10,0.2111304794441906,103,0,-3040.449162661202,0.0,0,4834
0490be51d517349361e2,A,1440,10080,10,100,0.02,2.0,6.0,20,both,True,False,155,-2973.593538313081,-0.02973593538313081,-0.04416164096925481,-0.8437069660614034,-0.6805076258915892,3,-0.4792956558373863,10,0.18702452316425172,109,46,-3453.213614370314,479.620076057233,6,6104
06499a9ebe9712dc9074,A,1440,10080,20,100,0.02,3.0,6.0,10,both,True,False,186,-2732.203186129827,-0.02732203186129827,-0.05339125675232631,-1.0200385280083213,-1.8387425342802544,2,-0.40310419591173674,10,0.19933829240032214,146,40,-2316.9721416395214,-415.23104449030654,3,4860
07be1d249ebc999860d6,A,1440,10080,10,50,0.01,3.0,6.0,10,both,True,False,193,89.58920441188452,0.0008958920441188452,0.007671140137753967,0.1465569265499481,-1.115250578451453,2,-0.22624293428816833,10,0.17163755707912948,95,98,-448.4657593685528,538.0549637804367,8,5156
08a92294fdda55304cc3,A,1440,10080,20,100,0.02,2.0,4.0,20,both,True,False,140,-3705.9160153672638,-0.03705916015367264,-0.07401796742032778,-1.414111281999545,-0.8789256810554755,2,-0.5013847961544933,10,0.22090659512547983,107,33,-3515.1855136600734,-190.7305017071908,3,5232
08ee3419a2ee159f068e,A,1440,10080,10,200,0.01,3.0,4.0,10,long,True,False,192,-3714.299964355816,-0.03714299964355816,-0.07058971940548105,-1.3486146956402187,-1.2727872673204392,2,-0.43904710275611325,9,0.1701217935976021,192,0,-3714.299964355816,0.0,0,4849
09eef91664ecfbf6a63a,A,1440,10080,10,200,0.02,2.0,6.0,10,both,True,False,285,-3636.8216145095894,-0.036368216145095895,-0.04981268742343883,-0.9516700569766843,0.14873408307159164,4,-0.5207922995634909,10,0.17390016970880592,204,81,-3791.843481456248,155.02186694665792,3,6594
0a809fd61b220fc86c59,A,1440,10080,20,100,0.01,2.0,4.0,20,long,True,False,117,-3897.967179784239,-0.03897967179784239,-0.08736137063966043,-1.6690366425620033,-2.436440972299856,2,-0.4435819588565123,9,0.24389607604288804,117,0,-3897.967179784239,0.0,0,4450
0b94fcd336c1bbbb0de4,A,1440,10080,10,50,0.01,2.0,4.0,20,long,True,False,78,-1983.9817264319356,-0.019839817264319357,-0.060786217236638344,-1.1613190496879067,-2.619846332712477,1,-0.236131743151478,9,0.2623492349146283,78,0,-1983.9817264319356,0.0,0,2788
0be3efebefd2743821d0,A,1440,10080,20,50,0.01,2.0,4.0,20,both,True,False,134,-1319.1873630272605,-0.013191873630272605,-0.02718263383477526,-0.5193234902268008,-1.2453985868107238,3,-0.3546847325180128,10,0.23130214549828984,73,61,-2614.9075371527656,1295.7201741255049,4,4894
0c3d65bdeecd9cc3f004,A,1440,10080,20,50,0.01,2.0,4.0,10,long,True,False,100,-1766.8471329718047,-0.017668471329718046,-0.05424776294657391,-1.0364020558732514,-1.543105734286017,2,-0.22785044245129082,8,0.22093255263917927,100,0,-1766.8471329718047,0.0,0,2298
0f68e45bb9b3dbf8067e,A,1440,10080,10,100,0.02,2.0,6.0,20,long,True,False,109,-3449.7992510435492,-0.03449799251043549,-0.07501574788577997,-1.433173851026092,-3.032116808853588,1,-0.42229269015834625,10,0.23203606783090033,109,0,-3449.7992510435492,0.0,0,4454
111f26494ab0aa92929b,A,1440,10080,10,100,0.01,3.0,4.0,20,long,True,False,104,-3162.281556384812,-0.03162281556384812,-0.058268303972210105,-1.1132143843151796,-2.965273042942202,2,-0.4108331630206865,10,0.19856216725223555,104,0,-3162.281556384812,0.0,0,4797
137efdede6749e6b9fe6,A,1440,10080,10,200,0.02,3.0,4.0,20,both,True,False,159,-3321.6364151788184,-0.033216364151788184,-0.05625504080344698,-1.0747510454826652,-0.2213517956171867,3,-0.475517858179889,10,0.14875897151632753,117,42,-3782.1714639587844,460.5350487799646,3,7048
15a1a9cb2b53b2e58cfb,A,1440,10080,20,100,0.01,2.0,6.0,10,long,True,False,171,-3314.9138504923326,-0.03314913850492333,-0.06984355970469211,-1.3343593345727212,-1.7651553489015013,3,-0.39843886554537133,9,0.19852393722918213,171,0,-3314.9138504923326,0.0,0,3998
16a921e607f045bbad8c,A,1440,10080,10,50,0.02,3.0,6.0,20,both,True,False,113,-1915.9320598681395,-0.019159320598681397,-0.030662498893612757,-0.58580621882692,-1.5402031766580593,2,-0.441655977075176,10,0.15774735393436104,58,55,-2079.8015671269313,163.8695072587917,8,5333
17b9cda284592b8e8367,A,1440,10080,20,200,0.02,3.0,4.0,20,both,True,False,144,-3395.338961900543,-0.03395338961900543,-0.06082999191089476,-1.1621553636653,-0.2739759720207014,2,-0.4607797414700958,10,0.20478341859663324,110,34,-3902.1335447123547,506.794582811812,2,6481
19b4183bba5626cd6c2b,A,1440,10080,20,200,0.01,2.0,6.0,20,long,True,False,128,-4803.65221771323,-0.0480365221771323,-0.09571934245935748,-1.8287154699709003,-2.21303508871548,1,-0.5393566257049868,9,0.16573173451561132,128,0,-4803.65221771323,0.0,0,4781
1aa3a339f3d1e6f86822,A,1440,10080,10,100,0.01,3.0,6.0,20,both,True,False,142,-3009.228902014163,-0.03009228902014163,-0.04554557334881056,-0.8701469570481972,-0.8999596442631717,3,-0.46155314011656323,10,0.1399435019339297,103,39,-3045.6816204056727,36.4527183915079,6,6468
1dff6df4aaedf72d5930,A,1440,10080,20,200,0.02,2.0,6.0,10,long,True,False,195,-3738.217241680673,-0.037382172416806726,-0.06453709698116912,-1.232979506588103,-0.5680505179367616,1,-0.4531614528337945,9,0.1773947868250154,195,0,-3738.217241680673,0.0,0,4450
1feb09c3a137b52ec22b,A,1440,10080,20,50,0.02,3.0,4.0,20,both,True,False,103,-29.247420420601827,-0.0002924742042060183,0.0036801703502376496,0.07030955581903807,-0.5982423957964204,2,-0.21950104489754085,10,0.22675177611671168,56,47,-1867.4279205046012,1838.1805000839997,4,4360
203ba5e650af8107f5f6,A,1440,10080,10,100,0.02,3.0,4.0,20,both,True,False,141,-2948.9325260410656,-0.029489325260410655,-0.04540405794747225,-0.8674433091018441,-1.2776313595975868,2,-0.45935828274157464,10,0.14805121396038512,103,38,-2935.1263403142307,-13.80618572683419,6,6171
2208e89a76f731d366a8,A,1440,10080,10,200,0.02,3.0,6.0,20,long,True,False,112,-3335.8459782578466,-0.03335845978257847,-0.05915378648613247,-1.1301315039901931,-1.3306860025828278,2,-0.4133524037437303,9,0.17205035840548016,112,0,-3335.8459782578466,0.0,0,5051
236258e8f053d73e7fe8,A,1440,10080,10,200,0.01,2.0,4.0,10,long,True,False,213,-3456.699029344607,-0.03456699029344607,-0.05970849496433911,-1.1407291945860225,-0.22412414122788946,2,-0.4287155573055603,9,0.21421861495275885,213,0,-3456.699029344607,0.0,0,4782
23a50032bd1c06f99f46,A,1440,10080,10,50,0.02,2.0,6.0,10,both,True,False,198,-839.1136289793791,-0.00839113628979379,-0.012560025944169266,-0.2399589587349154,-1.1114253664722433,2,-0.32184774451466724,10,0.16360634011216252,93,105,-1240.860674519226,401.74704553984674,8,4836
