signal_time,entry_time,exit_time,exit_reason,net_return,initial_risk_return,result_r
2024-01-09T21:30:00+00:00,2024-01-09T22:00:00+00:00,2024-01-09T22:00:00+00:00,take,0.014183051617672016,0.011837288713253985,1.1981672460004735
2024-01-09T22:30:00+00:00,2024-01-09T23:00:00+00:00,2024-01-10T00:00:00+00:00,take,0.015343011441621347,0.012782258581216127,1.2003364932836138
2024-01-10T00:30:00+00:00,2024-01-10T01:00:00+00:00,2024-01-10T01:30:00+00:00,stop,-0.01453853434300063,0.01293853434300073,-1.1236616109355106
2024-01-10T02:00:00+00:00,2024-01-10T02:30:00+00:00,2024-01-10T09:00:00+00:00,take,0.016108674546222036,0.013356505909666505,1.206054536655706
2024-01-10T09:30:00+00:00,2024-01-10T10:00:00+00:00,2024-01-10T11:30:00+00:00,stop,-0.01614720284043365,0.014547202840433699,-1.1099867801081853
2024-01-10T12:00:00+00:00,2024-01-10T12:30:00+00:00,2024-01-10T12:30:00+00:00,stop,-0.017579472125362327,0.01597947212536232,-1.100128464034836
2024-01-10T13:00:00+00:00,2024-01-10T13:30:00+00:00,2024-01-10T15:00:00+00:00,take,0.019372521833832358,0.01572939137537434,1.2316129322181937
2024-01-10T15:30:00+00:00,2024-01-10T16:00:00+00:00,2024-01-10T16:30:00+00:00,stop,-0.0178213627699478,0.016121362769947842,-1.1054501424140746
2024-01-10T17:00:00+00:00,2024-01-10T17:30:00+00:00,2024-01-10T19:00:00+00:00,take,0.020964995770669504,0.01692374682800214,1.2387916212490657
2024-01-10T20:00:00+00:00,2024-01-10T20:30:00+00:00,2024-01-10T21:00:00+00:00,take,0.02323092161999667,0.01862319121499749,1.2474189494058632
2024-01-12T11:00:00+00:00,2024-01-12T11:30:00+00:00,2024-01-12T14:30:00+00:00,take,0.01656307166209463,0.013622303746570953,1.2158788975957122
2024-01-12T15:00:00+00:00,2024-01-12T15:30:00+00:00,2024-01-12T15:30:00+00:00,stop,-0.015686141549784604,0.014086141549784638,-1.1135868182457977
2024-01-12T16:00:00+00:00,2024-01-12T16:30:00+00:00,2024-01-12T16:30:00+00:00,stop,-0.015452440963693425,0.0138524409636935,-1.11550310910499
2024-01-13T18:00:00+00:00,2024-01-13T18:30:00+00:00,2024-01-14T09:30:00+00:00,stop,-0.013152838252114418,0.011352838252114424,-1.1585506601985411
2024-03-01T14:00:00+00:00,2024-03-01T14:30:00+00:00,2024-03-01T14:30:00+00:00,stop,-0.013757143167877527,0.01215714316787749,-1.1316098673763813
2024-03-06T04:30:00+00:00,2024-03-06T05:00:00+00:00,2024-03-06T05:30:00+00:00,take,0.031349121207724644,0.02471184090579341,1.268587044050417
2024-03-06T06:00:00+00:00,2024-03-06T06:30:00+00:00,2024-03-06T11:00:00+00:00,take,0.03094810379347428,0.02441107784510568,1.2677893204817765
2024-03-06T12:30:00+00:00,2024-03-06T13:00:00+00:00,2024-03-07T13:00:00+00:00,time,-0.012192417984079685,0.026840444141482584,-0.45425544822620856
2024-03-16T00:00:00+00:00,2024-03-16T00:30:00+00:00,2024-03-16T11:00:00+00:00,stop,-0.022651418370208332,0.02077651837020829,-1.0902412986907608
