signal_time,entry_time,exit_time,exit_reason,net_return,initial_risk_return,result_r
2024-01-09T21:30:00+00:00,2024-01-09T21:45:00+00:00,2024-01-09T21:45:00+00:00,stop,-0.008885610333765781,0.007885610333765891,-1.126813265894959
2024-01-09T22:00:00+00:00,2024-01-09T22:15:00+00:00,2024-01-09T22:45:00+00:00,stop,-0.009502717298896513,0.008502717298896486,-1.1176094611695264
2024-01-09T23:00:00+00:00,2024-01-09T23:15:00+00:00,2024-01-10T00:00:00+00:00,take,0.010859010152102545,0.008969257614076959,1.2106921909634618
2024-01-10T00:15:00+00:00,2024-01-10T00:30:00+00:00,2024-01-10T02:30:00+00:00,stop,-0.010133295116496743,0.009133295116496652,-1.1094895092346113
2024-01-10T02:45:00+00:00,2024-01-10T03:00:00+00:00,2024-01-10T04:30:00+00:00,take,0.011712111017423088,0.009534083263067334,1.2284464792533218
2024-01-10T04:45:00+00:00,2024-01-10T05:00:00+00:00,2024-01-10T09:15:00+00:00,take,0.011711425395118592,0.009608569046338906,1.2188521869009126
2024-01-10T09:30:00+00:00,2024-01-10T09:45:00+00:00,2024-01-10T10:45:00+00:00,stop,-0.011150678154759452,0.010150678154759432,-1.0985155853386153
2024-01-10T11:00:00+00:00,2024-01-10T11:15:00+00:00,2024-01-10T11:45:00+00:00,stop,-0.011385563745847205,0.01038556374584716,-1.0962875029677528
2024-01-10T12:00:00+00:00,2024-01-10T12:15:00+00:00,2024-01-10T12:15:00+00:00,stop,-0.01159609393534522,0.010596093935345293,-1.0943743992929542
2024-01-10T12:30:00+00:00,2024-01-10T12:45:00+00:00,2024-01-10T12:45:00+00:00,stop,-0.012036638421411894,0.011036638421411877,-1.0906072992352402
2024-01-10T13:00:00+00:00,2024-01-10T13:15:00+00:00,2024-01-10T15:00:00+00:00,take,0.013457189623370946,0.010842892217528266,1.241107017702942
2024-01-10T15:15:00+00:00,2024-01-10T15:30:00+00:00,2024-01-10T17:00:00+00:00,stop,-0.012090848763780426,0.010990848763780347,-1.1000832623250225
2024-01-10T17:15:00+00:00,2024-01-10T17:30:00+00:00,2024-01-10T19:00:00+00:00,take,0.014473105460044988,0.011604829095033653,1.2471623098903566
2024-01-10T19:30:00+00:00,2024-01-10T19:45:00+00:00,2024-01-10T20:00:00+00:00,stop,-0.013251313794896857,0.012251313794896797,-1.0816238990153533
2024-01-10T20:15:00+00:00,2024-01-10T20:30:00+00:00,2024-01-10T20:45:00+00:00,take,0.016251724789910216,0.012938793592432675,1.2560463750975306
2024-01-10T21:00:00+00:00,2024-01-10T21:15:00+00:00,2024-01-10T23:00:00+00:00,take,0.016425376542204995,0.013069032406653655,1.2568165745646611
2024-01-12T11:15:00+00:00,2024-01-12T11:30:00+00:00,2024-01-12T12:45:00+00:00,stop,-0.010190395888918125,0.009190395888918094,-1.108809240873491
2024-01-12T13:00:00+00:00,2024-01-12T13:15:00+00:00,2024-01-12T14:15:00+00:00,take,0.011638676992990482,0.009479007744742873,1.227837059152671
2024-01-12T14:30:00+00:00,2024-01-12T14:45:00+00:00,2024-01-12T15:15:00+00:00,stop,-0.010422525424359064,0.00942252542435903,-1.1061286603074418
2024-01-12T16:15:00+00:00,2024-01-12T16:30:00+00:00,2024-01-12T16:30:00+00:00,stop,-0.010588558659280434,0.009588558659280426,-1.1042909612939733
2024-01-13T18:15:00+00:00,2024-01-13T18:30:00+00:00,2024-01-14T04:00:00+00:00,stop,-0.009408953400611552,0.00830895340061158,-1.1323873112489724
2024-03-01T14:00:00+00:00,2024-03-01T14:15:00+00:00,2024-03-01T14:30:00+00:00,stop,-0.00953736926205695,0.008537369262056954,-1.1171321011549007
2024-03-06T04:45:00+00:00,2024-03-06T05:00:00+00:00,2024-03-06T05:15:00+00:00,take,0.021022504309326062,0.016516878231994582,1.2727892047180989
2024-03-06T06:00:00+00:00,2024-03-06T06:15:00+00:00,2024-03-06T08:15:00+00:00,take,0.020650544939919135,0.016237908704939342,1.271749048178694
2024-03-06T12:30:00+00:00,2024-03-06T12:45:00+00:00,2024-03-06T15:00:00+00:00,stop,-0.01827195150966876,0.017271951509668777,-1.0578973371619407
2024-03-06T15:15:00+00:00,2024-03-06T15:30:00+00:00,2024-03-06T19:15:00+00:00,take,0.02319046997170547,0.018446684978779094,1.2571619235859226
2024-03-16T00:15:00+00:00,2024-03-16T00:30:00+00:00,2024-03-16T05:00:00+00:00,stop,-0.015207834556597688,0.014207834556597661,-1.070383702457716
2024-03-20T17:00:00+00:00,2024-03-20T17:15:00+00:00,2024-03-20T18:00:00+00:00,take,0.020057604243454263,0.015793203182590785,1.2700149558997775
2024-04-05T19:15:00+00:00,2024-04-05T19:30:00+00:00,2024-04-06T19:30:00+00:00,time,0.003863429850785754,0.008605084009921618,0.4489706139220999
2024-04-14T06:15:00+00:00,2024-04-14T06:30:00+00:00,2024-04-14T09:30:00+00:00,stop,-0.016863127419380907,0.01576312741938096,-1.0697831065330021
2024-04-14T15:15:00+00:00,2024-04-14T15:30:00+00:00,2024-04-14T17:15:00+00:00,stop,-0.018441907922667432,0.017341907922667432,-1.0634301603321399
2024-04-14T17:30:00+00:00,2024-04-14T17:45:00+00:00,2024-04-14T22:00:00+00:00,take,0.022716374936787243,0.017787281202590478,1.277113386697845
2024-05-01T18:00:00+00:00,2024-05-01T18:15:00+00:00,2024-05-01T18:45:00+00:00,take,0.013598370377865376,0.01094877778339908,1.2419989378616947
2024-05-01T19:00:00+00:00,2024-05-01T19:15:00+00:00,2024-05-01T19:30:00+00:00,stop,-0.012249509772568112,0.011249509772568115,-1.0888927624596134
2024-05-01T21:15:00+00:00,2024-05-01T21:30:00+00:00,2024-05-02T01:30:00+00:00,stop,-0.012058283695655748,0.01105914369565581,-1.0903451503566606
2024-05-21T23:15:00+00:00,2024-05-21T23:30:00+00:00,2024-05-22T04:30:00+00:00,stop,-0.011325491568841477,0.010200971568841439,-1.1102365585876988
2024-06-14T21:30:00+00:00,2024-06-14T21:45:00+00:00,2024-06-14T22:00:00+00:00,stop,-0.007097529392096512,0.006097529392096557,-1.1640008494745637
2024-06-15T05:30:00+00:00,2024-06-15T05:45:00+00:00,2024-06-15T06:15:00+00:00,take,0.007267143263521293,0.006200357447640973,1.1720523090626325
2024-06-15T06:30:00+00:00,2024-06-15T06:45:00+00:00,2024-06-15T09:30:00+00:00,stop,-0.007370215552627745,0.006270215552627792,-1.1754325653986415
2024-06-15T09:45:00+00:00,2024-06-15T10:00:00+00:00,2024-06-15T12:45:00+00:00,take,0.007523022260484181,0.006392266695363073,1.1768943035404567
2024-06-15T13:00:00+00:00,2024-06-15T13:15:00+00:00,2024-06-15T15:00:00+00:00,take,0.007693989594395601,0.006520492195796635,1.1799706775748384
2024-06-18T21:00:00+00:00,2024-06-18T21:15:00+00:00,2024-06-19T01:00:00+00:00,take,0.01014035986428119,0.00835526989821096,1.2136483905148838
2024-06-25T03:00:00+00:00,2024-06-25T03:15:00+00:00,2024-06-25T08:45:00+00:00,stop,-0.00977035302881758,0.008670353028817537,-1.1268691132118827
2024-06-25T09:00:00+00:00,2024-06-25T09:15:00+00:00,2024-06-25T14:15:00+00:00,take,0.00979228185623382,0.008094211392175352,1.2097882525899915
2024-07-05T18:45:00+00:00,2024-07-05T19:00:00+00:00,2024-07-06T16:30:00+00:00,take,0.016084789878113848,0.012974474908585297,1.239725691516844
2024-07-08T08:15:00+00:00,2024-07-08T08:30:00+00:00,2024-07-08T08:45:00+00:00,take,0.009792955751977028,0.00809471681398279,1.2097959665569407
2024-07-08T10:45:00+00:00,2024-07-08T11:00:00+00:00,2024-07-08T11:30:00+00:00,take,0.01105311360174166,0.009039835201306308,1.2227118476832877
2024-07-08T12:00:00+00:00,2024-07-08T12:15:00+00:00,2024-07-08T14:15:00+00:00,stop,-0.010287143228327245,0.009287143228327294,-1.1076757378899669
2024-07-08T19:15:00+00:00,2024-07-08T19:30:00+00:00,2024-07-09T01:00:00+00:00,take,0.014680331646989803,0.01180285623524233,1.2437948369781524
2024-08-05T15:30:00+00:00,2024-08-05T15:45:00+00:00,2024-08-06T00:45:00+00:00,take,0.0412107328335615,0.031597734625171105,1.3042306140748638
2024-08-12T10:15:00+00:00,2024-08-12T10:30:00+00:00,2024-08-12T11:00:00+00:00,take,0.012359210153571332,0.010019407615178519,1.2335270335591715
2024-08-12T11:15:00+00:00,2024-08-12T11:30:00+00:00,2024-08-12T13:45:00+00:00,stop,-0.011033794721221013,0.010033794721221028,-1.099663191024332
2024-08-12T14:00:00+00:00,2024-08-12T14:15:00+00:00,2024-08-12T14:30:00+00:00,take,0.0137277309582019,0.011045798218651363,1.242801170767538
2024-08-12T15:15:00+00:00,2024-08-12T15:30:00+00:00,2024-08-12T18:45:00+00:00,stop,-0.012615104635993975,0.011550864635994055,-1.0921350940849575
2024-08-12T19:00:00+00:00,2024-08-12T19:15:00+00:00,2024-08-12T20:30:00+00:00,take,0.015245703786953224,0.012184277840214813,1.2512603526352644
2024-08-28T17:00:00+00:00,2024-08-28T17:15:00+00:00,2024-08-29T06:30:00+00:00,take,0.013641822973990303,0.01099006723049265,1.2412865806807973
2024-09-04T14:30:00+00:00,2024-09-04T14:45:00+00:00,2024-09-04T15:45:00+00:00,take,0.009865389901322241,0.008149042425991562,1.2106195287260193
2024-09-07T12:45:00+00:00,2024-09-07T13:00:00+00:00,2024-09-07T17:45:00+00:00,stop,-0.010304552728877172,0.009278032728877145,-1.110639833895505
2024-11-23T17:15:00+00:00,2024-11-23T17:30:00+00:00,2024-11-23T18:00:00+00:00,stop,-0.00922839486389082,0.008228394863890761,-1.1215303855176457
2024-11-23T18:30:00+00:00,2024-11-23T18:45:00+00:00,2024-11-23T20:00:00+00:00,stop,-0.009278569043647655,0.008278569043647635,-1.1207938225468261
2024-11-25T20:00:00+00:00,2024-11-25T20:15:00+00:00,2024-11-25T21:30:00+00:00,stop,-0.011160192881653042,0.010160192881653039,-1.0984233283411156
2024-11-27T04:00:00+00:00,2024-11-27T04:15:00+00:00,2024-11-27T04:30:00+00:00,take,0.011546982118738502,0.009410236589053872,1.2270660795255801
2024-11-27T04:45:00+00:00,2024-11-27T05:00:00+00:00,2024-11-27T06:45:00+00:00,take,0.011820140865898332,0.009615105649423712,1.2293303159499638
2024-12-06T03:45:00+00:00,2024-12-06T04:00:00+00:00,2024-12-06T09:00:00+00:00,stop,-0.011370729502817239,0.010115329502817263,-1.124108660983345
2024-12-06T14:15:00+00:00,2024-12-06T14:30:00+00:00,2024-12-06T14:45:00+00:00,take,0.012277020303817499,0.009957765227863022,1.232909194270309
