active_assets,annualized_sharpe,daily_sharpe,ending_equity,entry_threshold,family,fast_window,funding_events,invalid_reason,key,long_net_pnl,long_trades,max_asset_positive_share,max_drawdown,max_holding_days,mean_trade_return,median_fold_sharpe,missing_bars,net_pnl,net_return,positive_folds,regime_tf_minutes,rejected_orders_total,short_net_pnl,short_trades,side,signal_tf_minutes,slow_window,stop_atr,take_atr,trades,valid,zero_trade
10,-0.1050788951258613,-0.005500080746822401,9701.032401880857,0.005,A,20,10703,,111446a7b934dd24b330,-1512.0181532819545,402,0.16063692678219083,-0.3596365797764166,10,-0.00032813893979300964,0.0,0,-1512.0181532819545,-0.015120181532819545,3,10080,0,0.0,0,long,1440,100,3.0,6.0,402,True,False
9,-0.6660545179819312,-0.03486288684610365,9511.152501082734,0.01,A,50,7838,,18032e8730ab98ef2dac,-4387.275582552856,302,0.27720704657740824,-0.5146684125495473,10,-0.0014654197984283266,0.0,0,-4387.275582552856,-0.043872755825528555,3,10080,0,0.0,0,long,1440,200,3.0,6.0,302,True,False
9,-0.8702136877704993,-0.04554906619445303,9256.29851520059,0.005,A,50,8928,,64c044218b10e653cd90,-5791.99686739034,120,0.33926663004737756,-0.6360751410148562,40,-0.004940320275686862,0.0,0,-5791.99686739034,-0.05791996867390341,3,10080,0,0.0,0,long,1440,200,3.0,6.0,120,True,False
10,-0.2888677780628069,-0.015120030550355367,9943.852180452057,0.005,A,20,12728,,74c26f06089072904efd,-3178.217350279429,177,0.16693657076434248,-0.4696956564029222,40,-0.0016941718892062425,0.0,0,-3178.217350279429,-0.03178217350279429,3,10080,0,0.0,0,long,1440,100,3.0,6.0,177,True,False
9,-0.899069086732086,-0.04705942680569095,9275.964480134635,0.01,A,50,8885,,82d812fd8ebc096baedf,-5806.590151567074,118,0.35132385496284274,-0.6373898475274514,40,-0.005048235143467028,0.0,0,-5806.590151567074,-0.05806590151567074,3,10080,0,0.0,0,long,1440,200,3.0,6.0,118,True,False
10,-0.3222113409348655,-0.016865312397517998,9943.389492021119,0.01,A,20,12085,,842ac332ec98116f546c,-3243.5929716626706,169,0.17100065577926374,-0.46995879552642794,40,-0.0018106951957435583,0.0,0,-3243.5929716626706,-0.032435929716626705,2,10080,0,0.0,0,long,1440,100,3.0,6.0,169,True,False
10,-0.13586222289898786,-0.007111353764161419,9852.293490778575,0.01,A,20,10276,,bba8b5538bbd2cf07f98,-1713.6846041965337,388,0.16726963451896737,-0.3736138034739419,10,-0.00039146883904627133,0.0,0,-1713.6846041965337,-0.017136846041965338,2,10080,0,0.0,0,long,1440,100,3.0,6.0,388,True,False
9,-0.6967760482739744,-0.036470925235447184,9362.399598759637,0.005,A,50,7901,,d07e629fcee11516d1a9,-4511.798435179412,304,0.27754288018070217,-0.5255448788706143,10,-0.0014994859433093242,0.0,0,-4511.798435179412,-0.04511798435179412,3,10080,0,0.0,0,long,1440,200,3.0,6.0,304,True,False
