active_assets,annualized_sharpe,daily_sharpe,episodes,invalid_reason,k_per_side,key,lookback_days,max_asset_positive_share,max_drawdown,median_fold_sharpe,net_equity,net_return,positive_folds,rebal_days,valid
10,0.5094816966832082,0.02666749081658423,1144,,2,1c74dd299ba48eebdf0f,3,0.44772863335750307,-0.5571464469568674,0.6883191106678923,1.9731002777508497,0.9731002777508497,9,7,True
0,,,0,equity_non_positive,2,27fb2be6fc882939c0de,1,1.0,0.0,0.0,1.0,0.0,0,7,False
10,1.1281463304050305,0.05904987775163564,12000,,3,36e7e56b050cd4a23620,7,0.22895689789299428,-0.27671566383537993,0.7039918816350678,7.776627763704361,6.776627763704361,9,1,True
10,0.6074269283584957,0.031794178552832855,1716,,3,414e10021ea2b6a4aab9,3,0.38933840683408305,-0.3878155557666192,0.3356064590341624,2.150296347156341,1.150296347156341,7,7,True
10,0.56717627825192,0.029687363236273846,12000,,3,85e188eff1f5b5cdd9e4,1,0.22561134622136964,-0.40814499294414464,-0.17227685349688432,2.381411762460202,1.381411762460202,5,1,True
10,0.8247325166232968,0.043168472893866466,1144,,2,877aff0ca5876dacbdb0,7,0.3728165985612761,-0.38340268402088806,1.3251162885278789,3.312477388463924,2.312477388463924,8,7,True
10,1.3943558647264798,0.07298392162018034,8000,,2,9b6899e20e7fe0192cf2,7,0.3266870866629798,-0.29241291197813535,0.9948367132058653,10.147495490242832,9.147495490242832,9,1,True
10,0.5333874842366442,0.027918776925967007,8000,,2,abbdb42a11808d61ebfb,1,0.24298955534857655,-0.6053200700216008,-0.30478453802246097,2.6218804151452693,1.6218804151452693,5,1,True
10,0.911049672886136,0.04768651934565924,8000,,2,b914e12fe448a01a38b0,3,0.2558630661404621,-0.3090128388321225,0.3460124416317997,7.983052435873898,6.983052435873898,9,1,True
10,1.3191540746724792,0.06904768002659328,12000,,3,dab879a24ba906802fbf,3,0.1793438202872504,-0.2020881285541135,1.2257375927120704,11.892252953364146,10.892252953364146,9,1,True
10,-0.07277497852571783,-0.00380921647263498,1716,,3,df07f899213ea7be9ee0,1,0.4256187157126135,-0.9325229847290395,0.30183664301475166,0.22653398420022647,-0.7734660157997735,8,7,True
10,0.9850216841148256,0.051558391373580044,1716,,3,eb6590438d97ab707690,7,0.36384188067198664,-0.30572240545292984,0.8314729413881236,3.813344767412098,2.813344767412098,8,7,True
