active_assets,annualized_sharpe,daily_sharpe,episodes,invalid_reason,k_per_side,key,lookback_days,max_asset_positive_share,max_drawdown,median_fold_sharpe,net_equity,net_return,positive_folds,rebal_days,stop_style,take_code,valid
10,0.6621063214947426,0.03465622879685553,3587,,3,055d71fcbfd63812b15c,3,0.2290938720492918,-0.3583970941666623,0.3096674689841841,2.3959775965724566,1.3959775965724566,6,1,flip,none,True
10,1.1282130410640439,0.05905336954711757,1292,,2,0600cf09037d7a71cb2d,7,0.353153873990796,-0.30640900090658285,0.7347268128120171,5.9897775068591645,4.9897775068591645,9,1,atr3,f1:1,True
10,1.32648129144272,0.0694312040809481,1223,,2,0c32adeaac32fd891559,7,0.3363129440093085,-0.29782930636104576,0.7642326880449547,8.937326745538375,7.937326745538375,9,1,atr3,p1:1.5,True
10,1.2455237540175335,0.06519369290071458,1274,,2,0f2e07a8ae1f31684491,7,0.3267792855201035,-0.33560467413908546,0.8694590178964502,7.528580566275556,6.528580566275556,9,1,atr2,none,True
10,1.324586443752786,0.06933202321989047,1223,,2,1252212acbd0aefeef2a,7,0.3363129440093085,-0.2979234536873526,0.7618263191450654,8.904621708891844,7.904621708891844,9,1,atr3,p1:1,True
10,0.9503486070616315,0.04974351957363449,1807,,2,17ef4aebc72d305f10fd,7,0.29516525438941105,-0.3142011723634085,0.7972560717648708,4.50198017584024,3.50198017584024,8,1,flip,none,True
10,1.2235332646192918,0.06404265807866397,2676,,3,1af47e7d4e1b15d011c0,3,0.15512698303699646,-0.2514797687184005,1.2675805653975325,9.335919838678802,8.335919838678802,9,1,atr3,f1:1.5,True
10,1.2940908409515632,0.06773581041589356,1258,,2,1d5f72f7b51909ab87ff,7,0.31766025707572226,-0.30038827833895687,1.080397530087731,8.372398379307041,7.372398379307041,9,1,atr3,f1:1.5,True
10,1.2598540763565882,0.0659437762537836,2636,,3,2742283d3ff25450db97,3,0.15602803525362732,-0.26713633318140406,1.3544878435830434,10.340921042447746,9.340921042447746,9,1,atr3,p1:1,True
10,1.3271387538359263,0.06946561723542886,1223,,2,36e100817da27fc3178d,7,0.3363129440093085,-0.2978297093397453,0.7656154478696386,8.948661318305632,7.948661318305632,9,1,atr3,p1:2,True
