side,signal_time,entry_time,exit_time,entry,exit,exit_reason,gross_return,funding_return,cost_return,net_return,initial_risk_return,result_r,mae_r,mfe_r
long,2021-01-04T05:00:00+00:00,2021-01-04T06:00:00+00:00,2021-01-04T06:00:00+00:00,1086.48,1160.6175,take,0.06823641484426779,0.0,0.001,0.06723641484426779,0.05117731113320077,1.3137934243803762,-0.10179283988085451,1.5729331759680782
long,2021-01-04T07:00:00+00:00,2021-01-04T08:00:00+00:00,2021-01-04T09:00:00+00:00,1052.05,986.494375,stop,-0.06231227127988215,-0.00375,0.001,-0.06706227127988215,0.06231227127988213,-1.0762289658591468,-2.098980827350817,0.5125418299345037
long,2021-01-04T12:00:00+00:00,2021-01-04T13:00:00+00:00,2021-01-05T00:00:00+00:00,1020.19,1137.45,take,0.11493937403816945,-0.00085432,0.001,0.11308505403816944,0.08620453052862702,1.3118226309534378,-0.4959918130649839,1.350048325658081
long,2021-01-05T01:00:00+00:00,2021-01-05T02:00:00+00:00,2021-01-05T03:00:00+00:00,1118.35,1031.8649999999998,stop,-0.07733267760540097,0.0,0.001,-0.07833267760540097,0.07733267760540084,-1.0129311441290414,-1.4263745158119892,0.019078452910910353
long,2021-01-09T11:00:00+00:00,2021-01-09T12:00:00+00:00,2021-01-09T21:00:00+00:00,1223.0,1298.7466666666667,take,0.061935132188607245,-0.00156908,0.001,0.05936605218860724,0.04645134914145544,1.2780264359561109,-0.4787889456081674,1.4064425277239927
long,2021-01-09T23:00:00+00:00,2021-01-10T00:00:00+00:00,2021-01-10T01:00:00+00:00,1279.96,1336.7658333333334,take,0.04438094419617289,-0.00340522,0.001,0.03997572419617289,0.03328570814712958,1.200987643689961,0.0,1.4423401352560665
long,2021-01-10T13:00:00+00:00,2021-01-10T14:00:00+00:00,2021-01-10T17:00:00+00:00,1312.01,1262.709375,stop,-0.037576409478586315,-0.00126049,0.001,-0.03983689947858632,0.03757640947858631,-1.0601571579447524,-1.24765152571595,0.3446203775307137
long,2021-01-11T23:00:00+00:00,2021-01-12T00:00:00+00:00,2021-01-13T00:00:00+00:00,1086.84,991.69,time,-0.0875473850796804,-0.00055084,0.001,-0.0890982250796804,0.09217490614993924,-0.9666212725483652,-0.9945160867693569,0.6617130522125956
long,2021-01-13T07:00:00+00:00,2021-01-13T08:00:00+00:00,2021-01-14T07:00:00+00:00,1076.81,1152.905,take,0.07066706289874736,-0.0006664399999999999,0.001,0.06900062289874735,0.05300029717406043,1.3018912454799942,-0.5479116017259118,1.539303940250126
long,2021-01-16T08:00:00+00:00,2021-01-16T09:00:00+00:00,2021-01-16T16:00:00+00:00,1218.43,1285.9991666666667,take,0.05545592825740231,-0.00152456,0.001,0.05293136825740231,0.0415919461930517,1.2726350436144045,-0.5610053895391159,1.5462674050047471
long,2021-01-17T15:00:00+00:00,2021-01-17T16:00:00+00:00,2021-01-18T03:00:00+00:00,1243.0,1193.290625,stop,-0.039991452131938776,-0.00109082,0.001,-0.042082272131938776,0.039991452131938866,-1.0522816724209445,-1.2029923932859747,0.5890237002577496
long,2021-01-20T00:00:00+00:00,2021-01-20T01:00:00+00:00,2021-01-20T03:00:00+00:00,1407.7,1347.7350000000001,stop,-0.042597854656531875,0.0,0.001,-0.043597854656531876,0.04259785465653193,-1.0234753606270313,-1.1209872425581604,0.03835570749603819
long,2021-01-20T23:00:00+00:00,2021-01-21T00:00:00+00:00,2021-01-21T02:00:00+00:00,1379.23,1316.8456250000002,stop,-0.0452313065986093,-0.00034937,0.001,-0.0465806765986093,0.045231306598609335,-1.0298326557747826,-1.0295847317537465,0.1886690377197818
long,2021-01-22T11:00:00+00:00,2021-01-22T12:00:00+00:00,2021-01-23T12:00:00+00:00,1198.39,1218.74,time,0.01698111633107735,-0.00015431,0.001,0.01582680633107735,0.05829279283038076,0.2715053707776514,-0.05969294635508132,1.0897899294993372
long,2021-01-23T19:00:00+00:00,2021-01-23T20:00:00+00:00,2021-01-24T04:00:00+00:00,1259.71,1310.6658333333335,take,0.04045044758978933,0.0,0.001,0.03945044758978933,0.0303378356923419,1.300371192917618,-0.9995584411336638,1.6560747052185665
long,2021-01-24T05:00:00+00:00,2021-01-24T06:00:00+00:00,2021-01-24T22:00:00+00:00,1328.0,1376.3725,take,0.03642507530120476,0.0,0.001,0.035425075301204756,0.027318806475903627,1.2967285131014494,-0.7632435784795083,1.433321274139922
long,2021-01-26T19:00:00+00:00,2021-01-26T20:00:00+00:00,2021-01-27T05:00:00+00:00,1343.08,1286.7056249999998,stop,-0.04197395166334106,-0.00036342,0.001,-0.04333737166334106,0.04197395166334099,-1.0324825265663717,-1.2370868856639203,0.6176565150389746
long,2021-01-28T03:00:00+00:00,2021-01-28T04:00:00+00:00,2021-01-28T14:00:00+00:00,1288.13,1359.7783333333334,take,0.055621973972606265,-0.0001,0.001,0.05452197397260626,0.04171648047945474,1.3069648576767687,-0.4222475516992715,1.3607201842331738
long,2021-01-30T18:00:00+00:00,2021-01-30T19:00:00+00:00,2021-01-31T07:00:00+00:00,1379.64,1342.63875,stop,-0.02681949639036274,0.0,0.001,-0.02781949639036274,0.026819496390362692,-1.0372863078950054,-1.0029390898956139,0.4097158879767497
long,2021-02-05T06:00:00+00:00,2021-02-05T07:00:00+00:00,2021-02-05T13:00:00+00:00,1649.55,1723.5249999999999,take,0.04484556394168093,0.0,0.001,0.04384556394168093,0.033634172956260804,1.3036016672299158,-0.10381885772220466,1.4500394277345956
long,2021-02-08T09:00:00+00:00,2021-02-08T10:00:00+00:00,2021-02-08T12:00:00+00:00,1630.68,1694.9633333333334,take,0.03942118216531343,0.0,0.001,0.03842118216531343,0.02956588662398507,1.2995105695272664,-0.07093596059113498,2.1826289862587482
long,2021-02-10T04:00:00+00:00,2021-02-10T05:00:00+00:00,2021-02-10T12:00:00+00:00,1791.28,1740.5918749999998,stop,-0.028297153432182642,0.0,0.001,-0.029297153432182643,0.028297153432182604,-1.0353392436591424,-2.1346222611311805,1.1189997657242237
