key,family,signal_tf_minutes,fast_window,slow_window,entry_threshold,exit_threshold,stop_atr,take_atr,max_holding_bars,valid,zero_trade,invalid_reason,trades,net_pnl,net_return,daily_sharpe,annualized_sharpe,median_fold_sharpe,positive_folds,max_drawdown,active_assets,max_asset_positive_share,long_trades,short_trades,long_net_pnl,short_net_pnl,missing_bars,funding_events
00065109bdc47db07017,A,15,5,21,0.0,0.003,2.0,2.0,48,True,False,,80702,-68597.8444050292,-0.6859784440502921,-0.08713998070371941,-1.6648069937747365,0.0,0,-6.859784440502857,10,0.1477501534737738,40631,40071,-34208.21699728842,-34389.62740774065,8,19965
000b275a8b1ded8dfb13,A,60,3,13,0.0,0.0,2.5,3.0,48,True,False,,46388,-37562.75283253509,-0.37562752832535085,-0.05290476488466868,-1.010744113927089,0.0,1,-2.9531192564278577,10,0.1556586554223663,23184,23204,-15617.938289508673,-21944.81454302612,8,17831
000c092bdf9a2cf33d68,A,15,5,34,0.0,0.003,2.0,3.0,12,True,False,,150889,-85314.72320562741,-0.8531472320562741,-0.07679436617316167,-1.4671543056942706,0.0,0,-8.531472320562791,10,0.14639013917696495,75964,74925,-43709.49509057094,-41605.22811505695,9,15864
0018cf479cfd896d12d3,A,60,3,34,0.0,0.0,2.0,2.0,12,True,False,,173829,-87956.32452046304,-0.8795632452046304,-0.06404044012586592,-1.2234908906905826,0.0,0,-8.699488658294829,10,0.16759764203739794,86272,87557,-39623.72730130979,-48332.59721915354,9,12747
001f48d8f715bcc2ba88,A,60,8,21,0.0,0.003,2.5,4.0,24,True,False,,75824,-52497.54354429453,-0.5249754354429453,-0.03280020821797312,-0.6266470981237948,0.0,0,-4.344713687549437,10,0.1680285296618387,37952,37872,-20601.1423234305,-31896.40122086423,8,14062
00250ef34efefa7c3317,B,15,3,13,0.01,0.0,1.5,3.0,12,True,False,,42957,-41538.85431152334,-0.41538854311523343,-0.032338822206527236,-0.6178323307520118,0.0,0,-4.153885431152348,10,0.1673528701347531,21987,20970,-15058.652082329112,-26480.20222919429,0,4491
002644c86ae2b9d84b74,B,15,8,21,0.005,0.0,1.5,3.0,12,True,False,,96062,-67633.82519294578,-0.6763382519294577,-0.050711622874158105,-0.9688441946483216,0.0,0,-6.482254279769522,10,0.15342320723516437,48840,47222,-29079.582801028053,-38554.242391917396,2,9844
0029421f8c284e63366f,A,15,8,34,0.005,0.0,2.0,4.0,48,True,False,,33110,-36547.896960150334,-0.36547896960150333,-0.04839337307255744,-0.9245540943768518,0.0,0,-3.654789696015038,10,0.14035411167514175,17157,15953,-15155.622058220279,-21392.274901930145,7,10998
002bd43e88a9152832cd,B,15,5,34,0.01,0.0,2.0,3.0,48,True,False,,29806,-29243.089883483797,-0.29243089883483797,-0.05855371885335527,-1.1186672279630734,0.0,0,-2.866279075223386,10,0.17069545856702908,15402,14404,-10989.328969678645,-18253.760913804985,0,9386
00328b97ae76d04157e1,A,15,8,21,0.01,0.0,2.0,4.0,12,True,False,,27558,-35746.2211873438,-0.357462211873438,-0.07102897601773961,-1.357006681434159,0.0,0,-3.574622118734401,10,0.1616154259644983,13836,13722,-13654.384989117207,-22091.83619822672,2,2971
003a08d19120e9907e06,B,60,8,34,0.0,0.0,2.0,3.0,24,True,False,,60489,-56558.030971541215,-0.5655803097154122,0.031751912584015274,0.6066194381580398,0.0,1,-5.632034681351644,10,0.14335076767674748,30366,30123,-27799.704754467322,-28758.32621707397,1,11903
0040f2ab7c37b00068c4,A,15,5,13,0.0,0.0,1.5,2.0,24,True,False,,122955,-81879.58103366531,-0.818795810336653,-0.07711425289441062,-1.4732657329226244,0.0,0,-7.959334918376662,10,0.12974742238027567,61561,61394,-41101.13593144145,-40778.44510222354,7,19243
004d332bac8d0f891a13,B,60,8,34,0.005,0.0,2.5,4.0,12,True,False,,84146,-65964.80222081329,-0.6596480222081329,-0.07650352973313461,-1.4615978833093741,0.0,0,-6.597388121161138,10,0.1513436825510895,42897,41249,-31661.02561522012,-34303.77660559375,1,5930
005c02f799a0f52f51b6,A,15,8,21,0.0,0.0,1.5,3.0,12,True,False,,159906,-87327.62184137372,-0.8732762184137373,-0.0578157303166912,-1.1045679767669863,0.0,0,-8.732762184137467,10,0.14083545624830868,81317,78589,-45896.21081945604,-41431.411021918975,8,15994
