cost_scenario,vwap_hours,stop_atr,take_atr,hold_hours,is_baseline,is_immediate_neighbor,threshold,rv_median,trades,expectancy_r,total_r,profit_factor_r,max_drawdown_r,best_5_share
round_trip_0_05pct,12,1.2,1.5,12,False,False,0.006594809855180683,0.03188585280881554,76,0.03452311416174435,2.6237566762925706,1.0713801710404955,-10.462169172011341,2.3532211142605726
round_trip_0_10pct,12,1.2,1.5,12,False,False,0.006594809855180683,0.03188585280881554,76,0.0047625925776092325,0.3619570358983017,1.0095476559805923,-11.218072090026238,16.850289091751563
round_trip_0_12pct,12,1.2,1.5,12,False,False,0.006594809855180683,0.03188585280881554,76,-0.0071416160560447564,-0.5427628202594015,0.9858586088778318,-11.548947592513159,-11.18224607290022
round_trip_0_16pct,12,1.2,1.5,12,False,False,0.006594809855180683,0.03188585280881554,76,-0.030950033323352905,-2.352202532574821,0.9401887701950976,-12.722223623966187,-2.5549504243359165
round_trip_0_05pct,12,1.2,1.5,24,False,False,0.006594809855180683,0.03188585280881554,75,0.020747745642420757,1.5560809231815567,1.0405661501529087,-11.955889535066458,3.9678396652469154
round_trip_0_10pct,12,1.2,1.5,24,False,False,0.006594809855180683,0.03188585280881554,75,-0.009200831943764354,-0.6900623957823266,0.9825779399800021,-12.696136131650976,-8.836129756352282
round_trip_0_12pct,12,1.2,1.5,24,False,False,0.006594809855180683,0.03188585280881554,75,-0.021180262978238332,-1.588519723367875,0.9603942589057749,-12.992234770284782,-3.8191482791529667
round_trip_0_16pct,12,1.2,1.5,24,False,False,0.006594809855180683,0.03188585280881554,75,-0.045139125047186486,-3.3854343785389864,0.9176451134262289,-13.696388069624943,-1.7740967085057318
round_trip_0_05pct,12,1.2,1.5,36,False,False,0.006594809855180683,0.03188585280881554,75,0.05027543770963185,3.770657828222389,1.0981379230142796,-10.32502253810573,1.6374542296362584
round_trip_0_10pct,12,1.2,1.5,36,False,False,0.006594809855180683,0.03188585280881554,75,0.020326860123446738,1.5245145092585053,1.038470357671603,-11.065269134690244,3.999621408705162
