scheme,cost_scenario,year,trades,expectancy_r,total_r,profit_factor_r,max_drawdown_r,compounded_return
anchored_12m_3m,round_trip_0_05pct,2022,20,-0.018207620871174564,-0.36415241742349125,0.9664947790307225,-3.7412751865122873,-0.13299589740919437
anchored_12m_3m,round_trip_0_05pct,2023,5,0.4732160204562475,2.3660801022812374,2.5654301562660904,-1.0454281437749575,0.0385439054363812
anchored_12m_3m,round_trip_0_05pct,2024,32,0.3270437178619882,10.465398971583623,2.100561103105965,-3.0827262160169036,0.2967964353763286
anchored_12m_3m,round_trip_0_10pct,2022,20,-0.03519702059744036,-0.7039404119488072,0.9363279913277314,-3.8166454800917107,-0.14169413420717902
anchored_12m_3m,round_trip_0_10pct,2023,5,0.4391043667567082,2.195521833783541,2.3869559372952813,-1.0818294833596864,0.035969372232494745
anchored_12m_3m,round_trip_0_10pct,2024,32,0.3050343571764028,9.76109942964489,1.9987057101678452,-3.15181276451659,0.2763666625909891
anchored_12m_3m,round_trip_0_12pct,2022,20,-0.041992780487946656,-0.8398556097589331,0.9245453984484552,-3.84679359752348,-0.14515016476623377
anchored_12m_3m,round_trip_0_12pct,2023,5,0.4254597052768926,2.127298526384463,2.320001815458489,-1.0963900191935778,0.034940989622715746
anchored_12m_3m,round_trip_0_12pct,2024,32,0.2962306129021687,9.479379612869398,1.9594912055699738,-3.179447383916464,0.2682823567077184
anchored_12m_3m,round_trip_0_16pct,2022,20,-0.055584300268959275,-1.1116860053791855,0.9014494967429794,-3.907089832387019,-0.15202260906944487
anchored_12m_3m,round_trip_0_16pct,2023,5,0.39817038231726115,1.9908519115863057,2.192980449077613,-1.125511090861361,0.0328866743057028
anchored_12m_3m,round_trip_0_16pct,2024,32,0.27862312435370035,8.915939979318411,1.8835299601091429,-3.2347166227162134,0.2522622904641918
rolling_12m_3m,round_trip_0_05pct,2022,25,0.036302131009773565,0.9075532752443392,1.0717812575986172,-4.752700359267902,-0.12302671759625272
rolling_12m_3m,round_trip_0_05pct,2023,18,0.3999173230554747,7.198511814998545,2.2681160855324203,-2.0883306980528475,0.08378117328425061
rolling_12m_3m,round_trip_0_05pct,2024,63,0.07092009976086408,4.4679662849344375,1.1629849963026722,-5.391456739829561,0.18827214699060835
rolling_12m_3m,round_trip_0_10pct,2022,25,0.018454687347566823,0.4613671836891706,1.035895535677163,-4.839495825602938,-0.13398909287783345
rolling_12m_3m,round_trip_0_10pct,2023,18,0.3648730498525936,6.567714897346685,2.1089695745075923,-2.270349789038077,0.07411049862489483
rolling_12m_3m,round_trip_0_10pct,2024,63,0.04394140554087798,2.7683085490753125,1.0976776692978027,-6.306465268741523,0.15150637722516658
rolling_12m_3m,round_trip_0_12pct,2022,25,0.011315709882684172,0.2828927470671043,1.0218670433820982,-4.874214012136953,-0.13833710748411854
rolling_12m_3m,round_trip_0_12pct,2023,18,0.35085534057144124,6.315396130285943,2.0489497252186193,-2.3431574254321683,0.07026509565015737
