scheme,cost_scenario,window,calibration_start,calibration_stop,oos_start,oos_stop,threshold,rv_median,trades,expectancy_r,total_r,profit_factor_r,max_drawdown_r,compounded_return
anchored_12m_3m,round_trip_0_10pct,6,2021-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,0.014555020027725796,0.03706247553479495,0,,0,,0.0,0.0
anchored_12m_3m,round_trip_0_10pct,7,2021-01-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,2023-07-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,0.013365522312688283,0.03517827499143888,1,-0.5011493083566916,-0.5011493083566916,0.0,-0.5011493083566916,-0.00713468731993705
anchored_12m_3m,round_trip_0_10pct,8,2021-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,2023-10-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,0.011898233028001304,0.03324456199029916,3,0.47490907923752035,1.424727237712561,2.3169609995172116,-1.0818294833596864,0.022233868082754737
anchored_12m_3m,round_trip_0_10pct,9,2021-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,0.011221110225208664,0.03189387192757824,8,0.528736481248476,4.229891849987808,2.8994128723429218,-1.1706051143772394,0.12095170762018914
anchored_12m_3m,round_trip_0_10pct,10,2021-01-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,2024-04-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,0.011206124239028004,0.031254544727291826,9,-0.010234031014767676,-0.09210627913290909,0.9779922213218415,-3.15181276451659,-0.02020370823129891
anchored_12m_3m,round_trip_0_10pct,11,2021-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,2024-07-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,0.010889341083051063,0.03049836906673233,8,0.4712260896879415,3.769808717503532,4.053605646810373,-1.0501718424777255,0.12391824019541642
anchored_12m_3m,round_trip_0_10pct,12,2021-01-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,2024-10-01T00:00:00+00:00,2024-12-31T18:00:00+00:00,0.010785108183154035,0.030009810387528656,7,0.26478644875520835,1.8535051412864583,1.8713807729667429,-1.0813151748974055,0.03399404721377497
anchored_12m_3m,round_trip_0_12pct,1,2021-01-01T00:00:00+00:00,2021-12-31T23:00:00+00:00,2022-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,0.01940523603707689,0.04322712021612439,2,0.12310918072529753,0.24621836145059506,1.233730774536058,-1.0534272260010444,0.021539195186218052
anchored_12m_3m,round_trip_0_12pct,2,2021-01-01T00:00:00+00:00,2022-03-31T23:00:00+00:00,2022-04-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,0.018199021423260353,0.0418686457834596,9,-0.2627335903939747,-2.364602313545772,0.6171299661523859,-3.8467935975234804,-0.21379892205440099
anchored_12m_3m,round_trip_0_12pct,3,2021-01-01T00:00:00+00:00,2022-06-30T23:00:00+00:00,2022-07-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,0.0167624136641491,0.04083439712497367,6,0.33963553973890903,2.037813238433454,2.1140980160860843,-1.2791867932440786,0.06223979211310193
anchored_12m_3m,round_trip_0_12pct,4,2021-01-01T00:00:00+00:00,2022-09-30T23:00:00+00:00,2022-10-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,0.016727192022051307,0.04074835215937162,3,-0.25309496536573667,-0.7592848960972101,0.6335628526120769,-1.041486615582529,0.002025090820235942
anchored_12m_3m,round_trip_0_12pct,5,2021-01-01T00:00:00+00:00,2022-12-31T23:00:00+00:00,2023-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,0.015438276101015891,0.038793087499129984,1,1.2596660186465378,1.2596660186465378,,0.0,0.02051926595671949
anchored_12m_3m,round_trip_0_12pct,6,2021-01-01T00:00:00+00:00,2023-03-31T23:00:00+00:00,2023-04-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,0.014555020027725796,0.03706247553479495,0,,0,,0.0,0.0
anchored_12m_3m,round_trip_0_12pct,7,2021-01-01T00:00:00+00:00,2023-06-30T23:00:00+00:00,2023-07-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,0.013365522312688283,0.03517827499143888,1,-0.5151975570292378,-0.5151975570292378,0.0,-0.5151975570292378,-0.007334687319937028
anchored_12m_3m,round_trip_0_12pct,8,2021-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,2023-10-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,0.011898233028001304,0.03324456199029916,3,0.4609433549223876,1.3828300647671627,2.261257436276434,-1.0963900191935778,0.021625050824683356
anchored_12m_3m,round_trip_0_12pct,9,2021-01-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,2024-01-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,0.011221110225208664,0.03189387192757824,8,0.5210164930656256,4.168131944525005,2.853468003910689,-1.1822427502747788,0.11918412703273251
anchored_12m_3m,round_trip_0_12pct,10,2021-01-01T00:00:00+00:00,2024-03-31T23:00:00+00:00,2024-04-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,0.011206124239028004,0.031254544727291826,9,-0.020867554369894896,-0.18780798932905407,0.9554784698693218,-3.179447383916464,-0.02197052197519922
anchored_12m_3m,round_trip_0_12pct,11,2021-01-01T00:00:00+00:00,2024-06-30T23:00:00+00:00,2024-07-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,0.010889341083051063,0.03049836906673233,8,0.4634242751392209,3.7073942011137673,3.9378290030864607,-1.0602062109732713,0.12214693355670359
anchored_12m_3m,round_trip_0_12pct,12,2021-01-01T00:00:00+00:00,2024-09-30T23:00:00+00:00,2024-10-01T00:00:00+00:00,2024-12-31T18:00:00+00:00,0.010785108183154035,0.030009810387528656,7,0.25595163665138293,1.7916614565596805,1.8331574484748647,-1.0955180927970969,0.032553913642427545
