scheme,cost_scenario,window,side,signal_time,entry_time,exit_time,entry,exit,exit_reason,gross_return,funding_return,cost_return,net_return,initial_risk_return,result_r
anchored_12m_3m,round_trip_0_05pct,4,long,2022-11-11T23:00:00+00:00,2022-11-12T00:00:00+00:00,2022-11-12T05:00:00+00:00,1288.67,1238.113125,stop,-0.039231824283951666,0.0,0.0005,-0.03973182428395167,0.039231824283951694,-1.0127447552879794
anchored_12m_3m,round_trip_0_05pct,5,long,2023-03-23T14:00:00+00:00,2023-03-23T15:00:00+00:00,2023-03-23T15:00:00+00:00,1803.89,1843.069166666667,take,0.02171926595671958,0.0,0.0005,0.02121926595671958,0.016289449467539605,1.3026386188805057
anchored_12m_3m,round_trip_0_05pct,7,long,2023-07-01T12:00:00+00:00,2023-07-01T13:00:00+00:00,2023-07-02T13:00:00+00:00,1926.41,1915.17,time,-0.005834687319937082,-0.00030000000000000003,0.0005,-0.006634687319937082,0.014236650038153876,-0.4660286866753261
anchored_12m_3m,round_trip_0_05pct,8,long,2023-11-22T09:00:00+00:00,2023-11-22T10:00:00+00:00,2023-11-22T18:00:00+00:00,2010.23,2055.0491666666667,take,0.02229554163785563,-0.0001,0.0005,0.02169554163785563,0.016721656228391772,1.297451720184193
anchored_12m_3m,round_trip_0_05pct,8,long,2023-12-07T22:00:00+00:00,2023-12-07T23:00:00+00:00,2023-12-08T04:00:00+00:00,2351.39,2392.1699999999996,take,0.017342933328796883,-0.00022693,0.0005,0.016616003328796883,0.013007199996597737,1.2774465936668224
anchored_12m_3m,round_trip_0_05pct,8,long,2023-12-08T05:00:00+00:00,2023-12-08T06:00:00+00:00,2023-12-08T13:00:00+00:00,2377.69,2345.030625,stop,-0.01373575823593498,-0.00012399,0.0005,-0.01435974823593498,0.013735758235934871,-1.0454281437749577
anchored_12m_3m,round_trip_0_05pct,9,long,2024-01-09T22:00:00+00:00,2024-01-09T23:00:00+00:00,2024-01-10T00:00:00+00:00,2341.16,2399.3766666666666,take,0.024866590351221962,-0.0001,0.0005,0.024266590351221962,0.01864994276341639,1.3011616528294743
anchored_12m_3m,round_trip_0_05pct,9,long,2024-01-10T01:00:00+00:00,2024-01-10T02:00:00+00:00,2024-01-10T15:00:00+00:00,2377.11,2439.57,take,0.026275603569039685,-0.0001,0.0005,0.025675603569039685,0.01970670267677976,1.3028868395773296
anchored_12m_3m,round_trip_0_05pct,9,long,2024-01-10T16:00:00+00:00,2024-01-10T17:00:00+00:00,2024-01-10T20:00:00+00:00,2408.55,2490.8525,take,0.03417097423761173,0.0,0.0005,0.03367097423761173,0.02562823067820886,1.3138235979060953
anchored_12m_3m,round_trip_0_05pct,9,long,2024-01-12T13:00:00+00:00,2024-01-12T14:00:00+00:00,2024-01-12T16:00:00+00:00,2674.0,2621.7937500000003,stop,-0.019523653702318566,-0.0001,0.0005,-0.020123653702318566,0.019523653702318573,-1.0307319525918828
anchored_12m_3m,round_trip_0_05pct,9,long,2024-03-06T04:00:00+00:00,2024-03-06T05:00:00+00:00,2024-03-06T08:00:00+00:00,3652.93,3832.170833333333,take,0.04906768904231207,0.0,0.0005,0.04856768904231207,0.0368007667817341,1.319746659909772
anchored_12m_3m,round_trip_0_05pct,9,long,2024-03-06T12:00:00+00:00,2024-03-06T13:00:00+00:00,2024-03-07T13:00:00+00:00,3821.53,3810.23,time,-0.0029569308627697133,-0.00115379,0.0005,-0.004610720862769714,0.03978200485146,-0.11589966066279085
anchored_12m_3m,round_trip_0_05pct,9,long,2024-03-16T00:00:00+00:00,2024-03-16T01:00:00+00:00,2024-03-16T13:00:00+00:00,3763.27,3649.408125,stop,-0.030256100412673015,-0.0002749,0.0005,-0.031031000412673017,0.03025610041267301,-1.0256113639706006
anchored_12m_3m,round_trip_0_05pct,9,long,2024-03-20T17:00:00+00:00,2024-03-20T18:00:00+00:00,2024-03-20T20:00:00+00:00,3301.75,3454.423333333333,take,0.046240125186138625,0.0,0.0005,0.045740125186138625,0.034680093889604,1.3189158406474233
anchored_12m_3m,round_trip_0_05pct,10,long,2024-04-14T06:00:00+00:00,2024-04-14T07:00:00+00:00,2024-04-14T17:00:00+00:00,3089.89,2978.73125,stop,-0.03597498616455608,-0.0002,0.0005,-0.03667498616455608,0.03597498616455602,-1.019457964397766
anchored_12m_3m,round_trip_0_05pct,10,long,2024-04-14T18:00:00+00:00,2024-04-14T19:00:00+00:00,2024-04-15T06:00:00+00:00,3082.26,3246.3183333333336,take,0.05322663673192185,-0.0001,0.0005,0.05262663673192185,0.039919977548941346,1.3183032647601645
