active_assets,annualized_sharpe,daily_sharpe,episodes,invalid_reason,k_per_side,key,max_asset_positive_share,max_drawdown,median_fold_sharpe,net_equity,net_return,positive_folds,rebal_days,valid,window_days
10,0.131165744903225,0.006865528870671336,7980,,2,04d97dd7f6cdd3a8231c,0.26990753188622335,-0.9848186957291306,0.4464168960879356,0.04430422494010202,-0.955695775059898,7,1,True,7
10,0.1760618948142346,0.009215500760233229,11970,,3,2211eabf47837b9b3d06,0.223065921403265,-0.6985458178940904,0.9429727242442327,0.7652764228933482,-0.23472357710665182,8,1,True,7
10,0.6849130842637651,0.03584998931987015,1144,,2,4ebf5e59ad64ba62b1be,0.3661552690718813,-0.6278064190699524,0.6039616998826672,2.772751309381546,1.7727513093815461,6,7,True,3
10,1.006821173816229,0.05269942881457739,1140,,2,5475de1446c9c0f0588f,0.22869530523149825,-0.4357418430890022,1.3070140979787268,5.850682941353053,4.850682941353053,9,7,True,14
10,0.22302180396145024,0.011673494745264796,11970,,3,71147edaa7c9bb112b80,0.34986658880539045,-0.7070476167463122,0.306031710222472,0.8695198619363483,-0.13048013806365166,7,1,True,14
10,0.736105126693061,0.03852950328524483,7980,,2,a5977e7e20a7621cef54,0.27626377284341325,-0.47401545194495276,0.7758673446858678,3.450269444897655,2.450269444897655,7,1,True,14
0,,,0,equity_non_positive,2,b5995970a652b5569898,1.0,0.0,0.0,1.0,0.0,0,7,False,7
10,-0.03397667752537811,-0.001778420582691617,1710,,3,be01259e42ee29beb0b2,0.35981138734984747,-0.851784285133397,-0.04790374269947069,0.4531925450579405,-0.5468074549420595,5,7,True,7
10,0.2590975490314959,0.013561785544757581,1710,,3,cfd52f60ee771eb351d4,0.2561944532226085,-0.8379908626893888,1.078902685245595,0.9504562867710491,-0.0495437132289509,8,7,True,14
10,-0.05157177863214259,-0.002699390266659024,7984,,2,db1256cb87e1c5953bdf,0.40092100353204363,-0.9867712572482994,-0.21788808931162987,0.02742795321364436,-0.9725720467863557,5,1,True,3
10,0.4649277008813141,0.024335428091614698,1716,,3,e224a0888fe455106b15,0.2893546649949127,-0.6131252621127887,0.4842511249468257,1.7259294978948017,0.7259294978948017,6,7,True,3
10,0.1039571856911391,0.0054413677915895265,11976,,3,e4428b101ba3a4272836,0.347269049276897,-0.7136453265676554,0.2938860064018524,0.6420188966491048,-0.35798110335089517,6,1,True,3
