config_id,fold,observations,compounded_net_return,annualized_return,sharpe,sortino,calmar,max_drawdown,turnover,cost_drag,funding_return,active_days
c9fbaf420343be717085,2021,365,0.13862557479490434,0.13862557479490434,3.373668649187259,6.373326197238111,5.809304386984265,-0.023862680548379367,4.896877439201555,0.003427814207441089,-0.006221528514373015,352
c9fbaf420343be717085,2022,365,-0.04105660760626184,-0.04105660760626184,-1.1906949702285883,-1.5787136813027571,-0.9280559177667859,-0.04423936836161535,7.792789608187713,0.005454952725731398,0.0011844414377323502,319
c9fbaf420343be717085,2023,365,0.045386662344573336,0.045386662344573336,1.205135866463034,2.047926190046708,1.3000984371247115,-0.03491017375957328,11.213381742938685,0.00784936722005708,-0.001486515718158655,339
c9fbaf420343be717085,2024,366,0.030499587809819317,0.03041500100160377,0.8278444856202726,1.2975003931433324,0.6315137624040393,-0.04816205570219134,9.089466454635886,0.006362626518245119,-0.0024024784846651765,353
c9fbaf420343be717085,2025,365,0.021645320251700628,0.021645320251700628,0.5844652404369184,1.2131395894294263,0.541349291745826,-0.039984018787381226,7.701626265566642,0.005391138385896649,0.005370966530883776,361
b3da5c76c82090a72f78,2021,365,0.21428747085553534,0.21428747085553534,3.3736686491872594,6.373326197238113,6.012421642158607,-0.03564079228126138,7.345316158802333,0.005141721311161632,-0.009332292771559524,352
b3da5c76c82090a72f78,2022,365,-0.061373827555390226,-0.061373827555390226,-1.1906949702285883,-1.5787136813027574,-0.9293810225627366,-0.06603731522960732,11.689184412281566,0.008182429088597096,0.001776662156598525,319
b3da5c76c82090a72f78,2023,365,0.06828518728298816,0.06828518728298816,1.205135866463034,2.0479261900467085,1.3125955012371222,-0.05202302401511305,16.820072614408026,0.011774050830085618,-0.0022297735772379814,339
b3da5c76c82090a72f78,2024,366,0.045557034221128445,0.04542977599132447,0.8278444856202725,1.2975003931433324,0.635631187537136,-0.07147191151420695,13.634199681953827,0.009543939777367678,-0.003603717726997764,353
b3da5c76c82090a72f78,2025,365,0.03209655209532292,0.03209655209532292,0.5844652404369177,1.2131395894294257,0.5400809614706059,-0.0594291493037008,11.55243939834996,0.008086707578844972,0.008056449796325662,361
